,CUI1_T_E,CUI1_T_K,CUI1,CUI2_T_E,CUI2_T_K,CUI2,RANK,PHYSICIAN,CODER,batet,cdist,faith,jcn,lch,lesk,lin,nam,path,pks,random,res,sanchez,upath,vector,wup,zhong
0,Renal failure ,신부전,C0035078,Kidney failure ,신부전,C0035078,1,4.0,4.0,1.0000,1.0000,1.0000,1.0000,3.6889,1960192.0000,1.0000,-1.0000,1.0000,1.0000,0.3259,-1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1,Heart ,심장,C0018787,Myocardium ,심근,C0027061,2,3.3,3.0,0.4167,0.5000,0.7918,1.3801,2.9957,306631.0000,0.8838,0.2080,0.5000,0.7000,0.1823,2.7553,1.2630,0.5000,0.9419,0.8235,0.3750
2,Stroke ,뇌졸중,C0038454,Infarct ,경색,C0021308,3,3.0,2.8,0.7619,0.1111,0.1468,0.1794,1.4917,121355.0000,0.2561,0.1409,0.1111,0.3333,0.0956,0.9591,0.3923,0.1429,0.8891,0.5000,0.0312
3,Abortion ,낙태,C0156543,Miscarriage ,유산,C0000786,4,3.0,3.3,1.0000,-1.0000,-1.0000,-1.0000,-1.0000,246867.0000,-1.0000,-1.0000,-1.0000,-1.0000,0.8024,-1.0000,0.0000,-1.0000,0.8302,-1.0000,-1.0000
4,Delusion,망상,C0011253,Schizophrenia,정신 분열증,C0036341,5,3.0,2.2,0.5833,0.1250,0.1974,0.1635,1.6094,624270.0000,0.3298,0.1443,0.1250,0.3571,0.3628,1.5043,0.7776,0.1429,0.9180,0.5263,0.0469
5,Congestive heart failure ,울혈성 심부전,C0018802,Pulmonary edema ,폐수종,C0034063,6,3.0,1.4,1.0000,-1.0000,-1.0000,-1.0000,-1.0000,247223.0000,-1.0000,-1.0000,-1.0000,-1.0000,0.5660,-1.0000,0.0000,-1.0000,0.8930,-1.0000,-1.0000
6,Metastasis ,전이,C027627,Adenocarcinoma ,선암,C0001418,7,2.7,1.8,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
7,Calcification ,석회화,C0175895,Stenosis ,협착,C0009814,8,2.7,2.0,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,45.0000,-1.0000,-1.0000,-1.0000,-1.0000,0.4067,-1.0000,-1.0000,-1.0000,0.2961,-1.0000,-1.0000
8,Diarrhea ,설사,C0011991,Stomach cramps ,위경련,C0344375,9,2.3,1.3,1.0000,-1.0000,-1.0000,-1.0000,-1.0000,45069.0000,-1.0000,-1.0000,-1.0000,-1.0000,0.9370,-1.0000,0.0000,-1.0000,0.6453,-1.0000,-1.0000
9,Mitral stenosis ,승모판 협착증,C0026269,Atrial fibrillation ,심방잔떨림,C0004238,10,2.3,1.3,0.4615,0.2000,0.3376,0.2561,2.0794,100985.0000,0.5047,0.1649,0.2000,0.5385,0.8788,1.9894,1.1155,0.2000,0.9034,0.7000,0.1250
10,Chronic obstructive pulmonary disease,만성 폐쇄성 폐질환,C0024117,Lung infiltrates,폐침윤,C0024109,11,2.3,1.9,0.6667,0.1111,0.0207,0.1450,1.4917,834311.0000,0.0406,0.1391,0.1111,0.2857,0.4895,0.1460,0.5850,0.1111,0.8089,0.4444,0.0391
11,Rheumatoid arthritis ,류머티즘성 관절염,C0003873,Lupus ,낭창 (피부결핵의 일종),C0409974,12,2.0,1.1,1.0000,-1.0000,-1.0000,-1.0000,-1.0000,1976367.0000,-1.0000,-1.0000,-1.0000,-1.0000,0.3135,-1.0000,0.0000,-1.0000,0.9662,-1.0000,-1.0000
12,Brain tumor ,뇌종양,C0006118,Intracranial hemorrhage ,두개내출혈,C0151699,13,2.0,1.3,0.6000,0.2500,0.3230,0.2255,2.3026,19264.0000,0.4882,0.1772,0.2500,0.6154,0.5562,2.1154,0.7370,0.2500,0.5994,0.7619,0.1875
13,Carpel tunnel syndrome ,손목터널증후군,C0007286,Osteoarthritis ,골관절염,C0029408,14,2.0,1.1,0.7727,0.1250,0.1641,0.2047,1.6094,2729500.0000,0.2820,0.1443,0.1250,0.3571,0.6061,0.9591,0.3720,0.1250,0.9432,0.5263,0.0469
