,CUI1_T_E,CUI1_T_K,CUI1,CUI2_T_E,CUI2_T_K,CUI2,RANK,PHYSICIAN,CODER,batet,batet,cdist,faith,jcn,lch,lesk,lin,nam,path,pks,random,res,sanchez,upath,vector,vector_rank,wup,zhong,ConceptEmbedding,ConceptEmbeddingRank,ConceptEmbedding,ConceptEmbeddingRank,,,
0,Renal failure ,신부전,C0035078,Kidney failure ,신부전,C0035078,1,4,4,1,1,1,1,1,3.6889,1960192,1,-1,1,1,0.3259,-1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,Heart ,심장,C0018787,Myocardium ,심근,C0027061,2,3.3,3,0.4167,27,0.5,0.7918,1.3801,2.9957,306631,0.8838,0.208,0.5,0.7,0.1823,2.7553,1.263,0.5,0.9419,4,0.8235,0.375,0.036104862,16,0.185926586,10,0.185926586,0.185926586,11
2,Stroke ,뇌졸중,C0038454,Infarct ,경색,C0021308,3,3,2.8,0.7619,16,0.1111,0.1468,0.1794,1.4917,121355,0.2561,0.1409,0.1111,0.3333,0.0956,0.9591,0.3923,0.1429,0.8891,10,0.5,0.0312,0.028305696,18,0.335601091,3,0.335601091,0.335601091,4
3,Abortion ,낙태,C0156543,Miscarriage ,유산,C0000786,4,3,3.3,1,1,-1,-1,-1,-1,246867,-1,-1,-1,-1,0.8024,-1,0,-1,0.8302,13,-1,-1,0.401484907,4,0.142564565,14,0.142564565,0.142564565,15
4,Delusion,망상,C0011253,Schizophrenia,정신 분열증,C0036341,5,3,2.2,0.5833,24,0.125,0.1974,0.1635,1.6094,624270,0.3298,0.1443,0.125,0.3571,0.3628,1.5043,0.7776,0.1429,0.918,6,0.5263,0.0469,-0.052273367,22,0.205047801,8,0.205047801,0.205047801,9
5,Congestive heart failure ,울혈성 심부전,C0018802,Pulmonary edema ,폐수종,C0034063,6,3,1.4,1,1,-1,-1,-1,-1,247223,-1,-1,-1,-1,0.566,-1,0,-1,0.893,9,-1,-1,0.231000513,9,0.299764007,5,0.299764007,0.299764007,6
6,Metastasis ,전이,C0027627,Adenocarcinoma ,선암,C0001418,7,2.7,1.8,-1,28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,-1,-1,0,19,-1,30,-1,1,1
7,Calcification ,석회화,C0175895,Stenosis ,협착,C0009814,8,2.7,2,-1,28,-1,-1,-1,-1,45,-1,-1,-1,-1,0.4067,-1,-1,-1,0.2961,28,-1,-1,0.247281536,8,0.229174793,6,0.229174793,0.229174793,7
8,Diarrhea ,설사,C0011991,Stomach cramps ,위경련,C0344375,9,2.3,1.3,1,1,-1,-1,-1,-1,45069,-1,-1,-1,-1,0.937,-1,0,-1,0.6453,21,-1,-1,-0.419149786,30,0.063086249,20,0.063086249,0.063086249,23
9,Mitral stenosis ,승모판 협착증,C0026269,Atrial fibrillation ,심방잔떨림,C0004238,10,2.3,1.3,0.4615,26,0.2,0.3376,0.2561,2.0794,100985,0.5047,0.1649,0.2,0.5385,0.8788,1.9894,1.1155,0.2,0.9034,7,0.7,0.125,0.063852891,14,0.100983262,15,0.100983262,0.100983262,16
10,Chronic obstructive pulmonary disease,만성 폐쇄성 폐질환,C0024117,Lung infiltrates,폐침윤,C0024109,11,2.3,1.9,0.6667,19,0.1111,0.0207,0.145,1.4917,834311,0.0406,0.1391,0.1111,0.2857,0.4895,0.146,0.585,0.1111,0.8089,15,0.4444,0.0391,-0.175035074,26,0.00891884,23,0.00891884,0.00891884,30
11,Rheumatoid arthritis ,류머티즘성 관절염,C0003873,Lupus ,낭창 (피부결핵의 일종),C0409974,12,2,1.1,1,1,-1,-1,-1,-1,1976367,-1,-1,-1,-1,0.3135,-1,0,-1,0.9662,2,-1,-1,0.720686495,2,0.316151679,4,0.316151679,0.316151679,5
12,Brain tumor ,뇌종양,C0006118,Intracranial hemorrhage ,두개내출혈,C0151699,13,2,1.3,0.6,23,0.25,0.323,0.2255,2.3026,19264,0.4882,0.1772,0.25,0.6154,0.5562,2.1154,0.737,0.25,0.5994,24,0.7619,0.1875,0.139645129,11,-0.010704869,24,-0.010704869,0.010704869,29
13,Carpel tunnel syndrome ,손목터널증후군,C0007286,Osteoarthritis ,골관절염,C0029408,14,2,1.1,0.7727,15,0.125,0.1641,0.2047,1.6094,2729500,0.282,0.1443,0.125,0.3571,0.6061,0.9591,0.372,0.125,0.9432,3,0.5263,0.0469,0.36001116,5,0.223630711,7,0.223630711,0.223630711,8
14,Diabetes mellitus ,진성당뇨병,C0011849,Hypertension ,고혈압,C0020538,15,2,1,0.6154,22,0.1667,0.182,0.2319,1.8971,2227802,0.3079,0.1533,0.1667,0.4167,0.736,0.9591,0.7004,0.2,0.8455,11,0.5882,0.0938,0.075316235,13,0.388206065,2,0.388206065,0.388206065,3
15,Acne ,여드름,C0702166,Syringe ,세척기,C0039142,16,2,1,1,1,-1,-1,-1,-1,2929,-1,-1,-1,-1,0.2929,-1,0,-1,0.6949,18,-1,-1,-0.151836783,24,-0.084605657,28,-0.084605657,0.084605657,18
16,Antibiotic ,항생제,C0003232,Allergy ,알레르기,C0020517,17,1.7,1.2,1,1,-1,-1,-1,-1,667825,-1,-1,-1,-1,0.912,-1,0,-1,0.9034,7,-1,-1,0.033842251,17,-0.051718801,26,-0.051718801,0.051718801,25
17,Cortisone ,코르티존(부신피질 호르몬의 일종),C0010137,Total knee replacement ,슬관절전치환술(무릎관절),C0086511,18,1.7,1,0.8519,11,0.0833,0.0151,0.105,1.204,4054,0.0297,0.1316,0.0833,0.2353,0.1175,0.146,0.2313,0.0833,0.5284,26,0.381,0.0117,0.077652067,12,0.040491186,21,0.040491186,0.040491186,27
18,Pulmonary embolus ,폐색전,C0034065,Myocardial infarction ,심근경색,C0027051,19,1.7,1.2,0.5333,25,0.1667,0.3803,0.2764,1.8971,463445,0.551,0.1582,0.1667,0.5,0.2942,2.2202,0.9069,0.1667,0.9233,5,0.6667,0.0938,-0.161671996,25,0.177378818,11,0.177378818,0.177378818,12
19,Pulmonary fibrosis ,폐섬유증,C0034069,Lung cancer ,폐암,C0242379,20,1.7,1.4,1,1,-1,-1,-1,-1,1733312,-1,-1,-1,-1,0.6153,-1,0,-1,0.7733,16,-1,-1,-0.219207853,28,0.192926988,9,0.192926988,0.192926988,10
20,Cholangiocarcinoma ,쓸개관암종,C0206698,Colonoscopy ,결장 내시술,C0009378,21,1.3,1,0.8261,12,0.0714,0.015,0.1045,1.0498,100490,0.0296,0.1279,0.0714,0.2105,0.4133,0.146,0.2756,0.0769,0.7393,17,0.3478,0.0059,0.565344751,3,0.063165158,19,0.063165158,0.063165158,22
21,Lymphoid hyperplasia ,림프구증식,C0333997,Laryngeal cancer ,후두암,C0007107,22,1.3,1,-1,28,-1,-1,-1,-1,409,-1,-1,-1,-1,0.2783,-1,-1,-1,0.6412,22,-1,-1,-0.175546274,27,0.02603795,22,0.02603795,0.02603795,28
22,Multiple sclerosis ,다발성 경화증,C0026769,Psychosis ,정신병,C0033975,23,1,1,0.7895,14,0.1,0.0181,0.1266,1.3863,419519,0.0356,0.1362,0.1,0.2667,0.3983,0.146,0.341,0.125,0.8153,14,0.4211,0.0234,0.353498429,6,0.171223819,12,0.171223819,0.171223819,13
23,Appendicitis ,맹장염,C0003615,Osteoporosis ,골다공증,C0029456,24,1,1,0.7222,18,0.1111,0.1222,0.1451,1.4917,107099,0.2178,0.1409,0.1111,0.3333,0.6857,0.9591,0.4695,0.1429,0.8399,12,0.5,0.0312,-0.141833842,23,0.161453918,13,0.161453918,0.161453918,14
24,Rectal polyp ,직장폴립,C0034877,Aorta ,대동맥,C0003483,25,1,1,1,1,-1,-1,-1,-1,23,-1,-1,-1,-1,0.8829,-1,0,-1,0.104,29,-1,-1,0.043207675,15,0.078719638,17,0.078719638,0.078719638,20
25,Xerostomia ,구강건조증,C0043352,Alcoholic cirrhosis ,알콜성 간경변,C0023891,26,1,1,0.75,17,0.1111,0.1017,0.1181,1.4917,5768,0.1847,0.1409,0.1111,0.3333,0.341,0.9591,0.415,0.1111,0.6523,20,0.5,0.0312,-0.259757042,29,0.082915187,16,0.082915187,0.082915187,19
26,Peptic ulcer disease ,소화성 궤양,C0030920,Myopia ,근시,C0027092,27,1,1,0.6429,21,0.125,0.1206,0.143,1.6094,5373,0.2153,0.1443,0.125,0.3571,0.5811,0.9591,0.6374,0.125,0.6692,19,0.5263,0.0469,-0.030302066,21,-0.096967138,29,-0.096967138,0.096967138,17
27,Depression ,우을증,C0011581,Cellulites ,셀룰라이트,C0007642,28,1,1,0.8,13,0.1111,0.0168,0.117,1.4917,9379,0.033,0.1391,0.1111,0.2857,0.8826,0.146,0.3219,0.125,0.6284,23,0.4444,0.0312,0.25151673,7,-0.061532971,27,-0.061532971,0.061532971,24
28,Varicose vein ,하지 정맥류,C0042345,Entire knee meniscus ,무릎 반월상 연골,C0224701,29,1,1,1,1,-1,-1,-1,-1,72,-1,-1,-1,-1,0.6688,-1,0,-1,0.3246,27,-1,-1,0,19,-0.049816702,25,-0.049816702,0.049816702,26
29,Hyperlidpidemia ,고지혈증,C0020473,Metastasis ,전이,C0027627,30,1,1,0.6667,19,0.1111,0.1416,0.172,1.4917,4412,0.2481,0.1409,0.1111,0.3333,0.3997,0.9591,0.585,0.125,0.5317,25,0.5,0.0391,0.207611829,10,0.075898133,18,0.075898133,0.075898133,21
,,,,,,,,,,,-0.045845006,,,,,,,,,,,,,,,0.469968731,,,,0.184534762,,0.467408231,,,0.524886774
