,CUI1_T_E,CUI1_T_K,CUI1,CUI2_T_E,CUI2_T_K,CUI2,RANK,PHYSICIAN,CODER,batet,cdist,faith,jcn,lch,lesk,lesk_rank,lin,nam,path,pks,random,res,sanchez,upath,vector,vector_rank,wup,zhong,ce,ce_rank,ce_0815-011-e3,ce_0815-011-e3_rank,ce_0815-012-e5,ce_0815-012-e5_rank,ce_0815-011-e3-e,ce_0815-011-e3-e_rank,ce_0815-012-e5-e,ce_0815-012-e5-e_rank
0,Renal failure ,신부전,C0035078,Kidney failure ,신부전,C0035078,1,4,4,1,1,1,1,3.6889,1960206,4,1,-1,1,1,0.4006,-1,1,1,0.9999,1,1,1,1,1,1,1,1,1,1,1,1,1
1,Heart ,심장,C0018787,Myocardium ,심근,C0027061,2,3.3,3,0.4167,0.5,0.7918,1.3801,2.9957,306624,11,0.8838,0.208,0.5,0.7,0.6239,2.7553,1.263,0.5,0.9421,5,0.8235,0.375,0.185926571,11,0.45669958,2,0.407877862,5,0.547513425,2,0.485315472,4
2,Stroke ,뇌졸중,C0038454,Infarct ,경색,C0021308,3,3,2.8,0.7619,0.1111,0.1468,0.1794,1.4917,121316,14,0.2561,0.1409,0.1111,0.3333,0.3804,0.9591,0.3923,0.1429,0.8891,11,0.5,0.0312,0.335601091,3,0.310134828,9,0.295358986,8,0.442124814,6,0.427666992,5
3,Abortion ,낙태,C0156543,Miscarriage ,유산,C0000786,4,3,3.3,1,-1,-1,-1,-1,246870,13,-1,-1,-1,-1,0.9738,-1,0,-1,0.83,14,-1,-1,0.142564565,15,0.378814042,5,0.218465015,14,0.503933072,3,0.57053268,2
4,Delusion,망상,C0011253,Schizophrenia,정신 분열증,C0036341,5,3,2.2,0.5833,0.125,0.1974,0.1635,1.6094,623646,8,0.3298,0.1443,0.125,0.3571,0.2149,1.5043,0.7776,0.1429,0.918,7,0.5263,0.0469,0.205047816,9,0.42720446,4,0.430497825,4,0.478272021,4,0.40753144,6
5,Congestive heart failure ,울혈성 심부전,C0018802,Pulmonary edema ,폐수종,C0034063,6,3,1.4,1,-1,-1,-1,-1,247230,12,-1,-1,-1,-1,0.2328,-1,0,-1,0.8931,10,-1,-1,0.299764067,5,0.361444294,7,0.364775747,6,0.397388041,7,0.388136894,7
6,Metastasis ,전이,C0027627,Adenocarcinoma ,선암,C0001418,7,2.7,1.8,0.5714,0.1429,0.4175,0.3402,1.743,120013,15,0.589,0.1505,0.1429,0.4286,0.2293,2.1065,0.8074,0.1429,0.9456,3,0.6,0.0781,0.262920827,6,0.202364162,14,0.244687766,9,0.261262923,14,0.236908272,13
7,Calcification ,석회화,C0175895,Stenosis ,협착,C0009814,8,2.7,2,-1,-1,-1,-1,-1,45,29,-1,-1,-1,-1,0.1324,-1,-1,-1,0.2961,29,-1,-1,0.229174793,7,0.09655185,23,0.111868948,21,0.124329075,19,0.139272273,19
8,Diarrhea ,설사,C0011991,Stomach cramps ,위경련,C0344375,9,2.3,1.3,1,-1,-1,-1,-1,45069,19,-1,-1,-1,-1,0.9662,-1,0,-1,0.6456,22,-1,-1,0.063086256,21,0.248193428,12,0.220867336,13,0.264149249,13,0.200534403,16
9,Mitral stenosis ,승모판 협착증,C0026269,Atrial fibrillation ,심방잔떨림,C0004238,10,2.3,1.3,0.4615,0.2,0.3376,0.2561,2.0794,100985,17,0.5047,0.1649,0.2,0.5385,0.2242,1.9894,1.1155,0.2,0.9035,8,0.7,0.125,0.100983255,16,0.367422342,6,0.460524559,3,0.38466987,8,0.349530846,9
10,Chronic obstructive pulmonary disease,만성 폐쇄성 폐질환,C0024117,Lung infiltrates,폐침윤,C0024109,11,2.3,1.9,0.6667,0.1111,0.0207,0.145,1.4917,834313,6,0.0406,0.1391,0.1111,0.2857,0.3022,0.146,0.585,0.1111,0.8089,16,0.4444,0.0391,0.00891884,24,0.311939836,8,0.233610094,11,0.238786861,15,0.215035021,14
11,Rheumatoid arthritis ,류머티즘성 관절염,C0003873,Lupus ,낭창 (피부결핵의 일종),C0409974,12,2,1.1,1,-1,-1,-1,-1,1975883,3,-1,-1,-1,-1,0.288,-1,0,-1,0.966,2,-1,-1,0.316151619,4,0.437796384,3,0.46789524,2,0.470171839,5,0.537759364,3
12,Brain tumor ,뇌종양,C0006118,Intracranial hemorrhage ,두개내출혈,C0151699,13,2,1.3,0.6,0.25,0.323,0.2255,2.3026,19265,20,0.4882,0.1772,0.25,0.6154,0.2008,2.1154,0.737,0.25,0.5988,25,0.7619,0.1875,-0.010704869,25,0.101623707,22,0.210776627,15,0.201489285,17,0.152216315,18
13,Carpel tunnel syndrome ,손목터널증후군,C0007286,Osteoarthritis ,골관절염,C0029408,14,2,1.1,0.7727,0.125,0.1641,0.2047,1.6094,2729501,1,0.282,0.1443,0.125,0.3571,0.5804,0.9591,0.372,0.125,0.9432,4,0.5263,0.0469,0.223630711,8,0.246133953,13,0.236144736,10,0.293321162,12,0.254020423,12
