,sno,CUI1,CUI2
0,0,C1177124,C1267324
1,1,C0005076,C0662076
2,2,C1683378,C3860003
3,3,C1572758,C1721261
4,4,C1367333,C3408393
5,5,C1559415,C4020346
6,6,C1862335,C1906297
7,7,C0754231,C2239510
8,8,C0209110,C0229360
9,9,C2773168,C2993128
10,10,C2520906,C3795282
11,11,C0161896,C2797532
12,12,C0631540,C1830907
13,13,C0711860,C2613708
14,14,C0211692,C3392199
15,15,C0008848,C1097285
16,16,C3472231,C3990599
17,17,C0801462,C1029461
18,18,C1461565,C2758782
19,19,C1369808,C1818108
20,20,C1938091,C3281452
21,21,C1898926,C3562743
22,22,C3554167,C3732922
23,23,C1841060,C2410367
24,24,C2330440,C3983273
25,25,C3173705,C3545516
26,26,C1915065,C3479605
27,27,C0650824,C1605054
28,28,C1193336,C2764742
29,29,C2507088,C3046395
30,30,C1698738,C3271896
31,31,C1041968,C3052087
32,32,C0919271,C1500052
33,33,C3541336,C3719086
34,34,C2679772,C3059475
35,35,C3774699,C3843191
36,36,C1047945,C1251428
37,37,C1972202,C2280451
38,38,C2284560,C2776455
39,39,C0736786,C3981807
40,40,C2402350,C3793594
41,41,C3161455,C3174036
42,42,C3797248,C3857498
43,43,C3559618,C3824779
44,44,C1121000,C2490656
45,45,C1681828,C2760998
46,46,C2938581,C3775475
47,47,C3219235,C3712730
48,48,C0152237,C4035886
49,49,C0448460,C2962548
50,50,C0882613,C1006811
51,51,C0960101,C3932252
52,52,C3752055,C3994267
53,53,C1526309,C2513323
54,54,C1063259,C3617635
55,55,C2411568,C3871712
56,56,C1544419,C2820516
57,57,C1928766,C3145687
58,58,C0294708,C1113869
59,59,C0225333,C2410463
60,60,C0926153,C3113732
61,61,C3419992,C3719290
62,62,C0504284,C3751099
63,63,C1987034,C2759595
64,64,C3019795,C3850108
65,65,C0013947,C1192317
66,66,C0855155,C3396610
67,67,C2955142,C3724554
68,68,C3278760,C3410723
69,69,C2412636,C3891446
