rownum,sno,CUI1,CUI2
0,0,C0872280,C2793358
1,1,C0529095,C2410123
2,2,C1660439,C2517976
3,3,C0664569,C1047687
4,4,C3924448,C3995556
5,5,C1180540,C3948919
6,6,C1246598,C1872012
7,7,C0355813,C1323626
8,8,C3612393,C3775186
9,9,C1006047,C1336195
10,10,C1335858,C2334272
11,11,C2482370,C2490452
12,12,C0682812,C3582320
13,13,C1818181,C3049196
14,14,C1197264,C1253856
15,15,C3591349,C3885080
16,16,C0922921,C1201858
17,17,C2540915,C3929514
18,18,C1607375,C1662927
19,19,C1084049,C2644067
20,20,C1188704,C3939596
21,21,C0682661,C1418746
22,22,C0957672,C3005046
23,23,C0848109,C3780658
24,24,C2271395,C3244436
25,25,C0010823,C3359511
26,26,C2474405,C3761884
27,27,C1236185,C1362044
28,28,C1837366,C3322841
29,29,C1861039,C3744661
30,30,C2618698,C3996119
31,31,C0938311,C3100989
32,32,C1416978,C3162554
33,33,C3425339,C3997304
34,34,C1467364,C3130189
35,35,C1888074,C3002469
36,36,C3109222,C3550038
37,37,C1140436,C2504076
38,38,C1500394,C3890021
39,39,C0157063,C0332603
40,40,C0384582,C1672592
41,41,C1210242,C1641879
42,42,C1569419,C1637690
43,43,C1506114,C2556859
44,44,C0379237,C3276693
45,45,C0532251,C1481752
46,46,C0783581,C2734277
47,47,C0073794,C0652566
48,48,C1874507,C3271576
49,49,C0829549,C1311336
50,50,C2483607,C3017926
51,51,C0642733,C3913547
52,52,C2735430,C3224652
53,53,C2785658,C3373519
54,54,C1687376,C3848022
55,55,C3263237,C3956183
56,56,C2550808,C3465944
57,57,C1887781,C3829363
58,58,C1595417,C2493343
59,59,C1984366,C3570753
60,60,C3028269,C3791151
61,61,C2053598,C3795799
62,62,C1383366,C3552408
63,63,C2599169,C3117587
64,64,C0795807,C3552548
65,65,C1520600,C1678310
66,66,C2686946,C3612843
67,67,C0935242,C1013983
68,68,C1919829,C2949157
69,69,C2351357,C4025415
70,0,C2360481,C2527095
71,1,C2655998,C3717706
72,2,C1840643,C3820209
73,3,C1920450,C3351455
74,4,C0756579,C3870535
75,5,C0500641,C0930365
76,6,C2947293,C3313502
77,7,C0267773,C2735386
78,8,C0162897,C3941795
79,9,C2530968,C3595174
80,10,C1927368,C2773056
81,11,C1031046,C3720394
82,12,C0076860,C3049822
83,13,C1234092,C3917805
84,14,C0799449,C2526956
85,15,C1473448,C2461102
86,16,C0764030,C2428797
87,17,C1656404,C3802950
88,18,C0428759,C2991995
89,19,C1042375,C3778048
90,20,C2444504,C3761130
91,21,C3841458,C4044801
92,22,C2628657,C3325013
93,23,C1495939,C1570114
94,24,C0221082,C2562618
95,25,C0151834,C1512008
96,26,C2695361,C3064747
97,27,C1289969,C3129603
98,28,C1556128,C2547186
99,29,C2949923,C3217309
100,30,C1260329,C3372112
101,31,C3151091,C3412904
102,32,C1027231,C2496125
103,33,C0969690,C1270967
104,34,C1588854,C3815299
105,35,C1928827,C2419411
106,36,C0942526,C1503006
107,37,C0950745,C3235100
108,38,C1003963,C3825542
109,39,C3822182,C4016764
110,40,C0240285,C3890967
111,41,C0227144,C3622222
112,42,C1608553,C3658945
113,43,C2949001,C3346985
114,44,C1192179,C2942473
115,45,C3631195,C3937621
116,46,C0597598,C0801707
117,47,C3527908,C3740143
118,48,C0836532,C3616430
119,49,C2267863,C3595051
120,50,C1830760,C3830424
121,51,C0672514,C1937022
122,52,C1872871,C2579474
123,53,C1497982,C3117397
124,54,C1068348,C2811690
125,55,C2325243,C3406976
126,56,C3387890,C3850108
127,57,C3629738,C3851694
128,58,C3386246,C4043300
129,59,C1609274,C2961463
130,60,C1611889,C3174791
131,61,C0161937,C0365007
132,62,C3343634,C4024403
133,63,C0945699,C3042457
134,64,C2291225,C3656058
135,65,C2435303,C3747962
136,66,C0042509,C1744215
137,67,C0981566,C1226113
138,68,C1656080,C2620662
139,69,C1915216,C3329330
140,0,C3101094,C3491543
141,1,C1040985,C2963183
142,2,C0915647,C3414476
143,3,C3587048,C3621383
144,4,C2340570,C3039545
145,5,C0880321,C1979065
146,6,C1183638,C2752011
147,7,C0345122,C3040468
148,8,C1929155,C2731582
149,9,C0200705,C1000836
150,10,C3805474,C3991158
151,11,C2477424,C2696126
152,12,C1682667,C2438931
153,13,C2526018,C3047382
154,14,C0840888,C3564012
155,15,C2497124,C4005765
156,16,C0380712,C3626705
157,17,C3321370,C3748905
158,18,C1705078,C3270174
159,19,C1864802,C4037538
160,20,C1908945,C4001642
161,21,C2710744,C3550159
162,22,C1034564,C2935132
163,23,C0227217,C3998907
164,24,C0007062,C1575596
165,25,C2304511,C3177385
166,26,C1667465,C2688835
167,27,C0330069,C2618599
168,28,C0369336,C3352030
169,29,C2273706,C3777488
170,30,C2951017,C3733133
171,31,C0640264,C1610766
172,32,C2436358,C3363929
173,33,C1886092,C1954562
174,34,C1864157,C3221276
175,35,C0104163,C1346099
176,36,C2290300,C3380109
177,37,C1626131,C2340351
178,38,C3231239,C3603931
179,39,C1198115,C2480658
180,40,C2536884,C3130428
181,41,C3375282,C4035446
182,42,C3104764,C3389683
183,43,C2658047,C3978247
184,44,C1016677,C2825377
185,45,C2297978,C2731334
186,46,C0657217,C1073930
187,47,C1670487,C1819409
188,48,C0605956,C2605903
189,49,C0942516,C2303541
190,50,C0911735,C2940250
191,51,C3021476,C3889363
192,52,C0935841,C3428471
193,53,C2001887,C3221751
194,54,C1136253,C1236337
195,55,C1083968,C2539894
196,56,C0065543,C0912356
197,57,C0035379,C2372809
198,58,C0934972,C1529827
199,59,C0615021,C0712032
200,60,C2405655,C3965142
201,61,C0071382,C1619844
202,62,C0492868,C3621203
203,63,C1619268,C3944083
204,64,C1495934,C2810261
205,65,C2976715,C3012409
206,66,C1664171,C2510654
207,67,C0714983,C2961756
208,68,C1075367,C1527700
209,69,C0537528,C3247268
210,0,C0723090,C3422421
211,1,C0292852,C3023815
212,2,C0384679,C2734664
213,3,C0788971,C2708606
214,4,C1228653,C3377171
215,5,C0030260,C1513456
216,6,C0005911,C1667792
217,7,C3409193,C3926371
218,8,C1630491,C3749796
219,9,C2346155,C3364563
220,10,C0051220,C1934540
221,11,C1553418,C2285879
222,12,C1073327,C3794437
223,13,C0386148,C2991819
224,14,C0076939,C3610919
225,15,C0528332,C1163543
226,16,C1073793,C3237268
227,17,C0018960,C3595808
228,18,C0815023,C3606380
229,19,C1919265,C3779211
230,20,C0673101,C1602673
231,21,C1949541,C2951432
232,22,C1971844,C3895150
233,23,C0958012,C2823513
234,24,C0486633,C2690577
235,25,C1710611,C2313482
236,26,C0460894,C3029593
237,27,C1416972,C3121078
238,28,C1415994,C1545813
239,29,C1498523,C3209546
240,30,C1171773,C1937086
241,31,C1917828,C2327014
242,32,C2640812,C2671462
243,33,C2494315,C2953578
244,34,C2998511,C3824721
245,35,C2689409,C3315896
246,36,C1870374,C3930668
247,37,C0548611,C0594454
248,38,C0492923,C3080467
249,39,C2672034,C3597336
250,40,C1576805,C1912295
251,41,C3709767,C3979201
252,42,C3357025,C3388208
253,43,C2453684,C2824299
254,44,C3110995,C3395748
255,45,C1418965,C1815686
256,46,C0957750,C2741333
257,47,C3632814,C3959708
258,48,C1019995,C3174264
259,49,C3108107,C3930767
260,50,C1258485,C3014898
261,51,C1439860,C1967948
262,52,C2281202,C2825600
263,53,C2269061,C3919998
264,54,C0613105,C2543651
265,55,C0989604,C1559753
266,56,C1649799,C3634245
267,57,C2392674,C3721031
268,58,C1945185,C3725319
269,59,C2448355,C4045341
270,60,C0998279,C2816335
271,61,C0755705,C1838539
272,62,C3541489,C3607971
273,63,C2500047,C3929397
274,64,C1145547,C2272714
275,65,C2298262,C3826005
276,66,C1982991,C3175230
277,67,C0755004,C2631242
278,68,C0446423,C1518175
279,69,C2277956,C3135218
280,0,C0805066,C1148382
281,1,C0008819,C2755774
282,2,C1480997,C3756895
