,CUI1,CUI2,vector
0,C0880741,C1335776,0.3444
1,C2572784,C3259843,0.0485
2,C1978452,C1114587,0.1242
3,C0641366,C3895803,0.0318
4,C3318680,C1235461,0.0180
5,C0385113,C1053374,0.0932
6,C2324581,C0798289,0.2596
7,C1521487,C1181470,0.1816
8,C2403143,C1192594,0.0587
9,C1138282,C3186998,0.2013
10,C0206722,C2713065,0.2697
11,C1147717,C0086390,0.0421
12,C2744721,C2530659,0.0163
13,C3666527,C1873976,0.0983
14,C0278928,C1164796,0.2362
15,C0524601,C1688694,0.0000
16,C2755771,C3449008,0.2278
17,C0943052,C3320827,0.2457
18,C0708478,C1310685,0.4109
19,C0879965,C1818755,0.2528
20,C2621870,C0687875,0.1320
21,C1416708,C2794420,0.0525
22,C0033607,C1024390,0.5412
23,C2545356,C1906117,0.0535
24,C2344808,C1538786,0.0402
25,C1424726,C0833233,0.3696
26,C3536393,C0029411,0.4499
27,C0049718,C3853966,0.1151
28,C0707040,C0221773,0.0460
29,C1417710,C1418708,0.3496
30,C1422366,C3871259,0.1072
31,C1830075,C3148003,0.1711
32,C1212153,C0206727,0.2754
33,C0178003,C0018482,0.4303
34,C3426506,C0379109,0.0171
35,C1170123,C1428968,0.0827
36,C0600432,C0228815,0.3494
37,C1965884,C3428490,0.0740
38,C2583866,C0953902,0.0323
39,C0364847,C0893450,0.0399
40,C3385507,C2360333,0.2033
41,C0006685,C1824473,0.2810
42,C0221248,C3763040,0.0203
43,C1952630,C3163382,0.4464
44,C0800289,C0945506,0.6828
45,C3054849,C1128835,0.0575
46,C0600495,C0798260,0.2643
47,C1565159,C1896268,0.0638
48,C0350132,C3831150,0.0844
49,C3262596,C0392752,0.0101
50,C3490537,C1452514,0.3856
51,C0215600,C3274034,0.1050
52,C3719923,C1147110,0.1267
53,C1198041,C1315975,0.0231
54,C3911052,C0243702,0.2092
55,C1061983,C0834738,0.0591
56,C1439979,C1151464,0.0207
57,C2458488,C0920565,0.1985
58,C0634419,C2972949,0.1110
59,C0010207,C3943939,0.3873
60,C0917801,C3209382,0.4406
61,C3971259,C2827772,0.0144
62,C3319923,C2441798,0.0527
63,C0020217,C1147057,0.5733
64,C1921506,C3094938,1.0000
65,C2749146,C0006075,0.1686
66,C2395009,C1413323,0.0821
67,C1942715,C1483962,0.2461
68,C3023561,C1147140,0.2112
69,C2333186,C3474011,0.1027
70,C0036489,C0034538,0.1377
71,C3902674,C2285463,1.0000
72,C1293967,C2445231,0.1698
73,C3654992,C3046857,0.2530
74,C1824631,C3546990,0.1579
75,C2754244,C3175556,0.0034
76,C3086590,C1929947,0.2163
77,C0093504,C0981760,0.3298
78,C2923669,C0039705,0.5643
79,C1147345,C1419272,0.2809
80,C3337537,C3930552,0.9042
81,C1214108,C3845563,0.4983
82,C1904031,C3132600,0.9439
83,C2296306,C2926382,0.1170
84,C0920899,C1477732,0.0477
85,C0676424,C0799128,0.1327
86,C1259214,C0550792,0.1055
87,C1217838,C2668423,0.0561
88,C0506470,C3276161,0.1190
89,C0052148,C1423015,0.3748
90,C1145847,C1505393,0.1441
91,C3912294,C3717091,0.0590
92,C3107214,C0944919,0.1120
93,C3424699,C3654718,0.5534
94,C1543004,C1315140,0.8896
95,C1334632,C2724919,0.2488
96,C0178916,C1079133,0.0101
97,C1514261,C3795344,0.0166
98,C0367297,C1709428,0.2289
99,C0549930,C0173809,0.3922
100,C2608718,C3940741,0.0561
101,C0944190,C1824139,0.1412
102,C2403473,C1149794,0.0106
103,C1571235,C3180525,0.5029
104,C1589363,C3572304,0.1188
105,C3128060,C2555708,0.0662
106,C0164055,C3732535,0.1898
107,C0084195,C1007119,0.2222
108,C2709470,C3262151,0.1036
109,C3809385,C2354899,0.1626
110,C3925103,C3261706,0.1218
111,C1194288,C2536867,0.0340
112,C1659554,C0484765,0.1608
113,C2995723,C0688001,0.1498
114,C2997544,C0761151,0.1325
115,C4021278,C0729205,0.2097
116,C0714543,C0329316,0.0000
117,C2403430,C0882985,0.0055
118,C0552172,C3036678,0.1508
119,C0485644,C1438155,0.4147
120,C0932117,C3384964,0.6939
121,C2981110,C1113894,0.1639
122,C3158738,C0162757,0.4337
123,C0802433,C3236353,0.0000
124,C0011603,C1481798,0.3193
