,CUI1,CUI2
0,C1883335,C1738209
1,C1568684,C1209357
2,C1382941,C3378713
3,C0485751,C2916993
4,C1315157,C1703476
5,C1334310,C0358458
6,C2657225,C2360082
7,C3156320,C0818149
8,C2607213,C3012660
9,C1741745,C0796389
10,C0798948,C3658282
11,C0647743,C2002074
12,C3982742,C0232124
13,C3428444,C3322411
14,C0804243,C3847422
15,C0485463,C1157352
16,C3569086,C3952801
17,C0034540,C3569575
18,C2428136,C0002573
19,C2986140,C0386058
20,C1543872,C3375030
21,C1722391,C0331498
22,C1505239,C0366577
23,C0787020,C0018497
24,C2610682,C1999875
25,C0687821,C1279956
26,C1143736,C2949881
27,C0733383,C2384508
28,C1346290,C1990794
29,C0302363,C3924734
30,C2649876,C2362605
31,C2645527,C0282312
32,C2942817,C0943721
33,C0039821,C3534718
34,C3365344,C1355003
35,C0205394,C0503833
36,C1419310,C3654842
37,C2578591,C1990733
38,C0367996,C0489398
39,C1158447,C0931178
40,C2682856,C3896023
41,C2940784,C0939026
42,C0882348,C1191224
43,C3247665,C1559984
44,C0265966,C3891678
45,C1868682,C1113743
46,C1873230,C0430594
47,C2809310,C3812343
48,C3738098,C1978516
49,C0942445,C0705909
50,C0959645,C0595459
51,C2598097,C1056049
52,C0026187,C3392891
53,C0710255,C0078399
54,C3925051,C0616843
55,C2735564,C1101477
56,C1544210,C1052560
57,C3227437,C0393547
58,C1075005,C1693842
59,C0482554,C1819186
60,C2361222,C3034953
61,C1054876,C0951381
62,C0980506,C1332097
63,C0521213,C1544327
64,C1513237,C0023607
65,C1978355,C1245344
66,C0903808,C3807357
67,C1150382,C3117133
68,C3246449,C3891774
69,C0175426,C0017920
70,C1924185,C1524210
71,C1526599,C0260069
72,C0748852,C3106898
73,C2286778,C1481380
74,C0925832,C0598696
75,C0939133,C1518051
76,C2452949,C1140680
77,C1153097,C1565989
78,C3894044,C1513692
79,C0943530,C3911594
80,C2719778,C2826825
81,C3813764,C0798442
82,C0550610,C1547102
83,C0978471,C1864010
84,C3168409,C3036448
85,C3276821,C2735319
86,C0656326,C3898195
87,C0034524,C0756892
88,C1171168,C2498052
89,C0485640,C0365638
90,C0484464,C1155828
91,C3850342,C1315703
92,C1710659,C2747769
93,C3822831,C0483719
94,C0600282,C2936250
95,C0328198,C3534408
96,C2969952,C1848571
97,C1124479,C1414298
98,C3887516,C0521471
99,C0030078,C0215848
100,C3596897,C2099487
101,C1935636,C1952631
102,C1202225,C2446423
103,C0008671,C2268574
104,C0040671,C1085317
105,C2954405,C0062023
106,C1672574,C1952688
107,C2425759,C3025739
108,C1113954,C3760662
109,C1954861,C4046617
110,C1925929,C2503358
111,C0541816,C0475732
112,C1147561,C2277695
113,C2607011,C0013856
114,C0085111,C1087394
115,C1136152,C3895332
116,C3915269,C0018862
117,C1675445,C0800759
118,C0261059,C1717406
119,C1941392,C0161803
120,C2821897,C0270847
121,C3407547,C0002875
122,C2701281,C3832820
123,C1326553,C0801767
124,C0010850,C1715840
125,C1307172,C3533788
126,C2829431,C3570763
127,C0551958,C0689763
128,C1063706,C1424761
129,C2685661,C3489983
130,C0177300,C2279102
131,C1636643,C0942805
132,C1653510,C1212385
133,C3737041,C1567799
134,C3618452,C3571252
135,C3409655,C1463580
136,C2399937,C3263049
137,C0366442,C3339160
138,C0482079,C3816131
139,C2818436,C0023532
140,C3483044,C0008559
141,C1182318,C1824201
142,C2518692,C2997427
143,C1114359,C3857386
144,C3278897,C0869501
145,C1657760,C0206179
146,C0827732,C2360685
147,C4027249,C2694957
148,C1519634,C3821688
149,C3699221,C1524268
150,C3904890,C1154741
151,C2969946,C0612896
152,C2780470,C0925002
153,C3596282,C1670561
154,C2670368,C0880267
155,C0981555,C0712824
156,C1738885,C3165668
157,C1439862,C0883205
158,C0503457,C2970662
159,C0804048,C0042944
160,C1050319,C2295522
161,C1342847,C1635818
162,C1544142,C0802091
163,C0329178,C0149782
164,C3360922,C1569311
165,C0383442,C3608959
166,C2787216,C1206226
167,C3739861,C0278652
168,C1369518,C3633042
169,C1567121,C0253664
170,C2240574,C2732143
171,C0942711,C3494255
172,C3561603,C3395993
173,C1369466,C0798259
174,C2403151,C1421243
175,C1676180,C3243730
176,C1015635,C1067075
177,C3974226,C0526147
178,C0991827,C1419234
179,C1113807,C1336182
180,C2701781,C3112610
181,C0391160,C2360326
182,C1649538,C3609621
183,C3248712,C1062437
