rownum,CUI1,CUI2,ce
0,C0035078,C0035078,1.0
1,C0018787,C0027061,0.03610486164689064
2,C0038454,C0021308,0.028305696323513985
3,C0156543,C0000786,0.4014849066734314
4,C0011253,C0036341,-0.05227336660027504
5,C0018802,C0034063,0.23100051283836365
6,C027627,C0001418,NaN
7,C0175895,C0009814,0.2472815364599228
8,C0011991,C0344375,-0.419149786233902
9,C0026269,C0004238,0.06385289132595062
10,C0024117,C0024109,-0.17503507435321808
11,C0003873,C0409974,0.7206864953041077
12,C0006118,C0151699,0.13964512944221497
13,C0007286,C0029408,0.36001116037368774
14,C0011849,C0020538,0.07531623542308807
15,C0702166,C0039142,-0.15183678269386292
16,C0003232,C0020517,0.03384225070476532
17,C0010137,C0086511,0.07765206694602966
18,C0034065,C0027051,-0.16167199611663818
19,C0034069,C0242379,-0.21920785307884216
20,C0206698,C0009378,0.5653447508811951
21,C0333997,C0007107,-0.17554627358913422
22,C0026769,C0033975,0.3534984290599823
23,C0003615,C0029456,-0.1418338418006897
24,C0034877,C0003483,0.04320767521858215
25,C0043352,C0023891,-0.25975704193115234
26,C0030920,C0027092,-0.03030206635594368
27,C0011581,C0007642,0.251516729593277
28,C0042345,C0224701,NaN
29,C0020473,C0027627,0.2076118290424347
