rownum,CUI1,CUI2,ce
0,C2310905,C0078253,NaN
1,C3933899,C3700664,NaN
2,C0936559,C1508030,NaN
3,C1014956,C0889603,NaN
4,C3378482,C1251982,NaN
5,C3870462,C1151417,NaN
6,C1548321,C3280900,NaN
7,C3642224,C4015031,0.9967492818832397
8,C1516503,C2934361,NaN
9,C3583510,C3993426,NaN
10,C1715660,C1717270,NaN
11,C3956257,C1863203,NaN
12,C0364185,C0049260,NaN
13,C0158983,C0375189,-0.9979139566421509
14,C1525573,C3552479,NaN
15,C2747668,C0721184,NaN
16,C2667095,C2918318,NaN
17,C2461916,C2280690,NaN
18,C1719618,C0674332,NaN
19,C2313654,C3539569,0.9991272687911987
20,C0057921,C1040229,0.5398324131965637
21,C2394037,C3401956,NaN
22,C0025218,C0797910,NaN
23,C4002407,C0600622,-0.9978281259536743
24,C1351893,C1461243,NaN
25,C3240329,C3006403,NaN
26,C0951496,C1716150,NaN
27,C0860437,C1526079,NaN
28,C3846974,C2694544,NaN
29,C3249203,C3029642,NaN
30,C0053026,C2936400,NaN
31,C0488534,C3194762,NaN
32,C1884587,C2791623,NaN
33,C1599362,C1537844,NaN
34,C1227539,C3155588,-0.9997996091842651
35,C1858127,C3896085,0.99540114402771
36,C2108107,C2304070,0.9952840805053711
37,C3481866,C3194692,NaN
38,C1543007,C1149732,NaN
39,C0600607,C1066882,0.9988651871681213
40,C1372662,C2348109,NaN
41,C0296573,C0489447,NaN
42,C0766530,C3268119,NaN
43,C3360560,C1185518,NaN
44,C1566921,C2722017,NaN
45,C0652222,C0366613,NaN
46,C1507962,C0280210,NaN
47,C2806651,C3820319,NaN
48,C0809849,C0694411,0.9992713332176208
49,C3559505,C3794980,NaN
50,C1122217,C0905393,NaN
51,C1537911,C3806457,NaN
52,C2784554,C2607493,NaN
53,C1859298,C3095415,NaN
54,C0296498,C1198816,NaN
55,C0362994,C2707246,NaN
56,C1959635,C3269987,-0.9954796433448792
57,C0010351,C3613558,NaN
58,C1423717,C0363990,NaN
59,C0094639,C1529846,NaN
60,C1462894,C3820033,NaN
61,C0942514,C1282927,NaN
62,C1416258,C2632267,NaN
63,C2941403,C2543084,NaN
64,C0887128,C0362553,NaN
65,C2818787,C1880858,-0.9956688284873962
66,C2405256,C3894197,NaN
67,C0798156,C0128914,NaN
68,C1181961,C0994251,NaN
69,C1543727,C1281132,NaN
70,C1170534,C3599882,NaN
71,C2325411,C3953459,NaN
72,C0023968,C1544785,NaN
73,C3959215,C0039607,0.44241863489151
74,C3594633,C3124900,NaN
75,C3058503,C1832315,-0.9982629418373108
76,C0071216,C2615791,NaN
77,C0225864,C0152322,-0.9714929461479187
78,C0927314,C0041014,NaN
79,C1311982,C1146272,0.9990351796150208
80,C1524731,C1544639,NaN
81,C3336109,C0022350,NaN
82,C3745310,C0483105,NaN
83,C2815316,C1932486,NaN
84,C2682514,C0138642,NaN
85,C0714950,C2306615,NaN
86,C0981886,C0009450,NaN
87,C1184589,C0070407,NaN
88,C0487972,C0797251,NaN
89,C3761948,C1334588,NaN
90,C3895629,C3800174,NaN
91,C0879688,C1447465,NaN
92,C1473079,C0945630,NaN
93,C3005027,C0389239,NaN
94,C0978484,C3173715,NaN
95,C1632958,C0798162,NaN
96,C0256264,C3776235,-0.9960910677909851
97,C3494292,C0318063,-0.9969109892845154
98,C2966637,C3172309,NaN
99,C0935894,C1135791,NaN
100,C0051679,C3054506,0.30471763014793396
101,C1603822,C2720143,NaN
102,C2681556,C1136155,NaN
103,C0799795,C1676737,NaN
104,C3943967,C3783485,NaN
105,C3850113,C3153774,NaN
106,C0366344,C2700340,NaN
107,C1430658,C3019813,NaN
108,C0029582,C1312882,NaN
109,C0225059,C0873969,-0.9992471933364868
110,C3401345,C1832529,NaN
111,C0158592,C3242497,NaN
112,C1425140,C2397329,NaN
113,C1853634,C0603863,NaN
114,C3064127,C1283024,NaN
115,C2433934,C1815885,NaN
116,C0246228,C0362997,NaN
117,C0809981,C0751542,-0.9945724606513977
118,C0177597,C2612178,0.9967732429504395
119,C0017495,C2725021,NaN
120,C2981856,C0797308,NaN
121,C0653039,C3812950,NaN
122,C1147978,C0484807,NaN
123,C0881453,C1157769,NaN
124,C3847229,C0978223,NaN
125,C3715217,C3731225,NaN
126,C3174291,C0975280,NaN
127,C1524760,C0037036,NaN
128,C0503403,C1523607,-0.9986554980278015
129,C1826508,C1637787,NaN
130,C1875325,C0530961,NaN
131,C0715649,C1041475,NaN
132,C0042212,C0928666,NaN
133,C0302885,C0880761,NaN
134,C1944188,C3566672,NaN
135,C0209598,C3937859,NaN
136,C3847363,C1502722,NaN
137,C1662559,C2557692,NaN
138,C0325911,C3666332,NaN
139,C1147048,C1373647,NaN
140,C2418751,C0926000,NaN
141,C3121641,C1910479,NaN
142,C3963586,C2357976,NaN
143,C1715247,C1450000,NaN
144,C0601900,C3167148,NaN
145,C2327933,C2419258,NaN
146,C2734088,C0931257,NaN
147,C0366268,C0224341,NaN
148,C0025656,C1524714,NaN
149,C3433275,C2911881,0.9982283115386963
150,C1544165,C1123024,NaN
151,C3636926,C2443174,NaN
152,C0137996,C3129374,-0.9182612299919128
153,C3899861,C0364621,NaN
154,C1831405,C0927344,NaN
155,C3907606,C0214721,NaN
156,C0029463,C2795573,NaN
157,C2563234,C0942636,NaN
158,C3566346,C2423971,NaN
159,C0550701,C3932793,NaN
160,C1307442,C0507739,NaN
161,C0816305,C0482288,NaN
162,C0483617,C1935103,NaN
163,C1737288,C3911647,NaN
164,C0799560,C2420462,NaN
165,C0242377,C1676142,NaN
166,C1315123,C3002752,NaN
167,C3436507,C2736218,NaN
168,C3803587,C0149525,NaN
169,C2666407,C0061458,NaN
170,C1151182,C0104490,NaN
171,C0688280,C0925070,NaN
172,C1994557,C1415699,NaN
173,C3903683,C0533151,NaN
174,C0054066,C1858403,NaN
175,C4046444,C1413076,NaN
176,C1134431,C0689716,NaN
177,C3211985,C0012203,-0.24330919981002808
178,C0482159,C1431656,NaN
179,C3503398,C1863315,NaN
180,C0483612,C0225778,NaN
181,C3971310,C1140091,NaN
182,C0716410,C1868636,NaN
183,C0458421,C2417806,NaN
184,C0078542,C1632378,NaN
185,C3712883,C0905283,NaN
186,C0550896,C0232124,NaN
187,C3849868,C0803547,NaN
188,C0293359,C0016262,0.2079039067029953
189,C1005929,C3599725,NaN
190,C1992364,C0000340,-0.43520471453666687
191,C3944960,C0996793,NaN
192,C4038439,C1948541,NaN
193,C1543617,C0338046,NaN
194,C2348881,C1413005,NaN
195,C3930191,C0206184,NaN
196,C0751202,C1666069,0.9953733682632446
197,C3483893,C1543552,NaN
198,C0880481,C1669916,NaN
199,C0085939,C1147264,NaN
200,C1701856,C0285606,-0.9590402245521545
201,C1858390,C3546521,NaN
202,C1325659,C0023814,0.47068944573402405
203,C0260053,C3665046,-0.9981021285057068
204,C0163026,C3922761,NaN
205,C1315145,C3130412,NaN
206,C1877734,C1277291,NaN
207,C3396356,C0080332,NaN
208,C0018564,C1323655,-0.6257874369621277
209,C3181241,C0799426,NaN
210,C1678584,C2610494,0.1921919286251068
211,C1624503,C2706876,NaN
212,C2239123,C2487285,NaN
213,C3421094,C0367895,NaN
214,C1985226,C0234686,NaN
215,C0085923,C0332523,-0.8649031519889832
216,C0927339,C2646670,NaN
217,C2427229,C0975706,NaN
218,C2369051,C4042442,NaN
219,C2493085,C2288105,NaN
220,C3665010,C2701603,NaN
221,C3034957,C1850282,NaN
222,C2458350,C3934368,NaN
223,C0710764,C2341634,NaN
224,C1669312,C0595965,-0.9999244213104248
225,C1299558,C0552017,NaN
226,C3148158,C3370347,NaN
227,C2526332,C3373562,NaN
228,C0590811,C0880155,NaN
229,C2923654,C0246213,NaN
230,C0162557,C1715143,NaN
231,C1689300,C1625249,NaN
232,C4009352,C0524781,NaN
233,C1765333,C0020354,0.39494645595550537
234,C0822185,C2383836,NaN
235,C2456697,C1973668,0.9958441257476807
236,C1673876,C3795675,-0.9973787069320679
237,C4045300,C1420038,0.9875065088272095
238,C0035227,C3442904,-0.7651354670524597
239,C3969209,C2308160,NaN
240,C2281817,C0485372,NaN
241,C1146999,C0677791,NaN
242,C0552563,C1427906,NaN
243,C3247702,C4034180,NaN
244,C2829760,C0535643,0.998542308807373
245,C1716097,C3318676,NaN
246,C2565573,C3802269,NaN
247,C1000862,C3004274,NaN
248,C0799051,C1481105,NaN
249,C1831213,C3890161,NaN
250,C2520939,C1525661,NaN
251,C2718243,C1434358,NaN
252,C1877339,C2690096,NaN
253,C0275518,C0942189,NaN
254,C0175525,C0484492,NaN
255,C0497158,C3933180,NaN
256,C3445143,C2770565,NaN
257,C3541720,C1538279,0.9999089241027832
258,C0222686,C3353293,NaN
259,C1487160,C2934718,-0.9990100860595703
260,C0036919,C3415372,0.07032864540815353
261,C0880113,C0742186,NaN
262,C0759800,C1884825,NaN
263,C2415761,C1825075,NaN
264,C0814975,C0965638,NaN
265,C3890803,C0751188,-0.9993979334831238
266,C0365529,C2925736,NaN
267,C1477051,C1525309,NaN
268,C1584462,C3593914,NaN
269,C0237858,C2985038,NaN
270,C1824633,C0292962,NaN
271,C1576099,C2545729,NaN
272,C2451189,C0039813,-0.15134355425834656
273,C0026882,C2710349,NaN
274,C0551545,C1714922,0.9985316395759583
275,C3971374,C2987233,NaN
276,C0689815,C0364295,NaN
277,C0802311,C1831132,NaN
278,C4037602,C0489429,NaN
279,C1521193,C2740985,NaN
280,C1865847,C3058599,NaN
281,C2925704,C3651629,NaN
282,C0802480,C1704393,NaN
283,C2520978,C3945245,NaN
284,C2247098,C1717468,NaN
285,C0038734,C3090640,NaN
286,C3396213,C1842747,NaN
287,C2471179,C0304513,-0.9946696162223816
288,C2622441,C0682001,-0.9975646138191223
289,C1002329,C0024759,-0.195648193359375
290,C3611535,C1632114,NaN
291,C2976019,C2823972,-0.9961127638816833
292,C1525317,C1121652,NaN
293,C1514664,C0058624,-0.6223132610321045
294,C1422671,C3224582,NaN
295,C1835591,C0880600,NaN
296,C1143695,C1586699,NaN
297,C3172436,C0079428,NaN
298,C2664583,C0279922,0.9935142993927002
299,C0831209,C1147770,NaN
300,C3029551,C0982605,NaN
301,C2774673,C1906955,NaN
302,C0061126,C1209558,NaN
303,C0804338,C3500884,NaN
304,C1506702,C0942904,NaN
305,C0797095,C1420311,NaN
306,C0713820,C1529412,NaN
307,C2487272,C0710734,NaN
308,C0393776,C0712956,NaN
309,C2679011,C1648045,NaN
310,C1332847,C2717964,0.9951629042625427
311,C3744517,C3091641,NaN
312,C0941678,C1370375,NaN
313,C0800686,C0050858,NaN
314,C1414862,C0981760,-0.9996281266212463
315,C3499372,C0942255,NaN
316,C2964574,C3542657,0.9998675584793091
317,C0628076,C0813872,0.9920935034751892
318,C2389341,C2980396,NaN
319,C2278408,C0801890,NaN
320,C3369800,C3541211,NaN
321,C0822225,C3935439,0.9975969195365906
322,C3917235,C3020631,NaN
323,C4012511,C3105314,NaN
324,C2714609,C0660111,NaN
325,C1201108,C0818370,NaN
326,C0702531,C2681525,NaN
327,C3388687,C0230246,NaN
328,C0072899,C1181904,0.4547143280506134
329,C1840357,C0497431,NaN
