rownum,CUI1,CUI2,ce
0,C1914082,C2431211,0.018351806327700615
1,C0267918,C3826207,-0.010844831354916096
2,C0499806,C3541152,-0.010285013355314732
3,C3782959,C1739036,-0.0685456320643425
4,C2788642,C1098912,-0.0030978922732174397
5,C3746258,C1853501,0.1407778561115265
6,C0921577,C1384663,0.06172825023531914
7,C0011501,C3440246,-8.46204929985106E-4
8,C3766098,C1823493,0.05695641413331032
9,C2719633,C3505527,0.3689129054546356
10,C1413677,C3117499,-0.12968288362026215
11,C3831350,C1160214,0.02877005562186241
12,C3503497,C1070174,0.03766750916838646
13,C0680774,C0003191,-0.021506378427147865
14,C0597832,C0103839,0.08430636674165726
15,C0549941,C3032055,-0.07835948467254639
16,C0271265,C2393563,-0.02574921026825905
17,C1607329,C0226401,-0.03557596728205681
18,C0108177,C0447740,0.03627649322152138
19,C0391001,C3482237,-0.0043496256694197655
20,C2940498,C1977840,0.00557300541549921
21,C1412329,C3600026,-0.08033610135316849
22,C0040373,C0030568,0.09728944301605225
23,C0016943,C0043944,0.13527271151542664
24,C3124106,C1316175,-0.11576160043478012
25,C0123619,C0370941,-0.0923551619052887
26,C0366837,C2404918,-0.003012386616319418
27,C1717410,C0227448,-0.03415508195757866
28,C0282165,C1417143,-0.022864535450935364
29,C1926380,C0282474,-0.09320098161697388
30,C2936209,C3256041,-0.013598882593214512
31,C3946379,C0549909,-0.0384737029671669
32,C1707717,C1315801,0.0977160781621933
33,C0706560,C3167611,0.03753931075334549
34,C3539423,C3099254,0.17851313948631287
35,C1419943,C1156229,-0.005307561717927456
36,C3105742,C4036944,0.06123076379299164
37,C1135120,C1537631,-0.11122827231884003
38,C0521195,C0794378,0.14161670207977295
39,C0771999,C1632947,0.03791843727231026
40,C0297542,C1667414,0.06598251312971115
41,C3644010,C0482984,-0.015159783884882927
42,C0759310,C0497510,-0.07084451615810394
43,C0849704,C0716889,0.14796118438243866
44,C0085606,C3101793,0.0018728069262579083
45,C1169840,C0065756,0.04146960750222206
46,C0639438,C2939739,-0.06475618481636047
47,C1147793,C0005156,0.051912665367126465
48,C0367424,C2807623,0.08907262235879898
49,C1454118,C3151156,0.19441340863704681
50,C2923502,C1705064,-0.045543961226940155
51,C0781282,C0296331,-0.05636170879006386
52,C0048808,C1557867,-0.05044170841574669
53,C0045747,C4014811,0.06639784574508667
54,C3655036,C0006674,-0.11960417032241821
55,C2616152,C1028804,0.0962640643119812
56,C1978038,C3181874,-0.10956692695617676
57,C0281255,C1644251,-0.07759954780340195
58,C3272185,C1009120,-0.01504545845091343
59,C1930364,C1210103,0.00174561922904104
60,C2738089,C2708990,-0.06492940336465836
61,C3759489,C1979339,0.001637015724554658
62,C1557738,C1414513,-0.041213080286979675
63,C1146804,C0392777,0.03703983500599861
64,C3007588,C3898043,-0.016372477635741234
65,C0485434,C1524719,0.2257833033800125
66,C1148033,C2248789,0.10309237241744995
67,C3893943,C3405283,0.03163580223917961
68,C3476482,C1538128,0.042488474398851395
69,C0004046,C1234142,0.11195511370897293
70,C3097078,C2277009,0.195844829082489
71,C0366200,C1684727,-0.0963468998670578
72,C2377812,C1670825,0.033624935895204544
73,C2446840,C3238110,-0.045864205807447433
74,C0206475,C2416504,-0.07113335281610489
75,C1857476,C1952584,-0.024405378848314285
76,C3419206,C2920762,-0.061990104615688324
77,C0941572,C0942722,0.24508021771907806
78,C1628589,C2384717,-0.10864438861608505
79,C0227575,C1076779,-0.008867709897458553
80,C3467697,C1020283,-0.034790750592947006
81,C3431764,C3135330,-0.021051932126283646
82,C0949671,C0881223,-0.05355892702937126
83,C1711759,C1508204,-0.006704695522785187
84,C3973269,C2802987,0.09343816339969635
85,C3487132,C2672882,0.012163235805928707
86,C2352472,C0855176,0.00946914590895176
87,C0707427,C0879994,-0.00875951535999775
88,C3813661,C0223546,0.011605986393988132
89,C1088368,C3227242,-0.03913629427552223
90,C1954977,C3001911,0.057408805936574936
91,C0943095,C1543493,0.07075046747922897
92,C0802170,C1216613,0.09095624834299088
93,C0960828,C3594413,0.07223128527402878
94,C1953717,C0817751,0.007365664001554251
95,C1329188,C1316852,-8.821625378914177E-4
96,C2950002,C0021275,0.02905881777405739
97,C0828943,C3898290,-0.15842173993587494
98,C1051062,C0533029,0.05591041222214699
99,C4042859,C0520434,0.08036492764949799
100,C1278631,C1647785,4.000210901722312E-4
101,C1832016,C3464133,0.05467335134744644
102,C2700670,C1087498,-0.002499412978067994
103,C3208770,C3166784,0.034288931638002396
104,C0013032,C0831922,0.062387436628341675
105,C0759519,C3956358,-0.011295399628579617
106,C1447943,C3570291,0.06094241514801979
107,C3233208,C2380292,-0.04427780956029892
108,C3847368,C2676494,0.1484466791152954
109,C0162281,C1706603,-0.03405110910534859
110,C1416556,C0798856,0.10920342057943344
111,C0044646,C1057973,-0.05474121496081352
112,C3309612,C1425586,0.003045176388695836
113,C2764659,C1945128,0.015244736336171627
114,C2494540,C2612053,-0.030157938599586487
115,C1976598,C3768406,0.008401168510317802
116,C2765335,C3811154,0.023966994136571884
117,C1152475,C0367787,-0.06843241304159164
118,C0029896,C1085804,0.04634038358926773
119,C2970259,C0996875,-0.031436942517757416
120,C3854266,C0085218,0.026581652462482452
121,C3035031,C0637927,-0.16067874431610107
122,C3988086,C3816533,0.13455867767333984
123,C3602733,C0800836,0.10600998252630234
124,C0796728,C0934161,0.03232656046748161
125,C3887785,C1637757,0.06657823920249939
126,C1978095,C0488432,0.040000032633543015
127,C3667055,C0058648,0.03433169797062874
128,C1515010,C1035765,-0.031418327242136
129,C3473503,C2991245,0.012699444778263569
130,C0485512,C1515397,-0.14899185299873352
131,C0206913,C0368257,-0.012404348701238632
132,C2428010,C2970171,-0.009655352681875229
133,C3027178,C2332248,-0.14727585017681122
134,C3356662,C1143476,0.06021273881196976
135,C2925918,C3047096,-0.12372761219739914
136,C0208318,C0715978,0.13264161348342896
137,C3363287,C2484570,-0.04339027404785156
138,C0455988,C1706018,0.08333931863307953
139,C0688562,C1219146,-0.09786023199558258
140,C0822385,C0798062,-0.14376239478588104
141,C1025305,C0683498,0.06849987804889679
142,C3986388,C1524875,0.13121013343334198
143,C2411044,C1431233,-0.019720377400517464
144,C1525113,C0014570,-0.01642022654414177
145,C2731766,C1687320,-0.014350288547575474
146,C0220055,C1822911,0.026893792673945427
147,C2926045,C0268487,0.01011847984045744
148,C0941887,C2768194,0.10972296446561813
149,C1425036,C1418381,0.3198258578777313
150,C0037944,C0912026,-0.03860203176736832
151,C0854921,C2979566,0.0010756400879472494
152,C1158853,C1260326,-0.10368656367063522
153,C0616144,C0881701,0.05024482682347298
154,C0137001,C1132256,-0.03648650273680687
155,C1155155,C2717868,0.08278143405914307
156,C0678975,C1021606,-0.03451859951019287
157,C2825655,C1875753,-0.051584046334028244
158,C0751575,C0037441,0.02139647677540779
159,C2422019,C0977507,-0.05347421392798424
160,C1001185,C2949588,0.05421759933233261
161,C1313655,C3969208,-0.08605813980102539
162,C1428190,C1715730,0.07259780913591385
163,C0521911,C0672032,-0.03732949495315552
164,C1525952,C1183877,0.030074449256062508
165,C3064013,C3396855,0.1896064132452011
166,C0042439,C3751437,0.05996832251548767
167,C3058769,C2649899,0.18986599147319794
168,C0027096,C0390102,0.11974270641803741
169,C0108055,C0253898,-0.07502280920743942
170,C2733823,C1565735,0.09865991771221161
171,C1571480,C0934201,-0.049971628934144974
172,C0504251,C3773570,-0.1720123589038849
173,C3205906,C1433858,-0.04681875929236412
174,C3905156,C3309530,0.06919465959072113
175,C3902270,C1688115,-0.017361605539917946
176,C3548028,C1316381,-0.12958286702632904
177,C3411522,C2828241,0.09690628945827484
178,C1590403,C3033129,-0.02082369662821293
179,C2310544,C1283985,-0.15909916162490845
180,C1716033,C2984101,0.015610581263899803
181,C1913710,C3723750,0.18443197011947632
182,C0038897,C1173769,0.05898427963256836
183,C0029701,C3155193,0.04419241100549698
184,C0056705,C2777913,-0.14528708159923553
185,C0012282,C3596384,-0.04683820530772209
186,C0368206,C1415731,0.0059062219224870205
187,C2489887,C0979217,0.19589990377426147
188,C2312690,C1247250,0.005915306508541107
189,C3169368,C0803324,0.19293586909770966
190,C2637117,C3840797,0.08514287322759628
191,C1899724,C3397202,-0.022561313584446907
192,C3592122,C2000221,-0.04782186076045036
