rownum,CUI1,CUI2,ce
0,C0035078,C0035078,1.0
1,C0018787,C0027061,0.4078778624534607
2,C0038454,C0021308,0.2953589856624603
3,C0156543,C0000786,0.21846501529216766
4,C0011253,C0036341,0.43049782514572144
5,C0018802,C0034063,0.36477574706077576
6,C0027627,C0001418,0.2446877658367157
7,C0175895,C0009814,0.1118689477443695
8,C0011991,C0344375,0.2208673357963562
9,C0026269,C0004238,0.4605245590209961
10,C0024117,C0024109,0.2336100935935974
11,C0003873,C0409974,0.4678952395915985
12,C0006118,C0151699,0.21077662706375122
13,C0007286,C0029408,0.23614473640918732
14,C0011849,C0020538,0.2013624757528305
15,C0702166,C0039142,0.05705002695322037
16,C0003232,C0020517,0.11562591791152954
17,C0010137,C0086511,0.06690572202205658
18,C0034065,C0027051,0.15811119973659515
19,C0034069,C0242379,0.3145904242992401
20,C0206698,C0009378,0.23185677826404572
21,C0333997,C0007107,-0.01165161281824112
22,C0026769,C0033975,0.04473929852247238
23,C0003615,C0029456,0.06950653344392776
24,C0034877,C0003483,0.02278527431190014
25,C0043352,C0023891,0.12753140926361084
26,C0030920,C0027092,0.08957186341285706
27,C0011581,C0007642,0.17900510132312775
28,C0042345,C0224701,0.07833020389080048
29,C0020473,C0027627,0.0775144025683403
