rownum,CUI1,CUI2,ce
0,C0365655,C3976786,0.0929843932390213
1,C2925955,C1429686,-0.03218919783830643
2,C1334556,C0153364,0.1466687172651291
3,C1906752,C3069393,0.03622948005795479
4,C4013851,C1539848,-0.00223166448995471
5,C3399660,C0058435,0.09079945087432861
6,C1147139,C3567740,-0.011559691280126572
7,C0743798,C0879910,0.03564891964197159
8,C3351085,C1910468,0.09648606181144714
9,C0484347,C2438766,-0.07573265582323074
10,C3421462,C0943506,0.11280710250139236
11,C0644117,C3052987,0.015596827492117882
12,C2283687,C1019604,-0.08173131197690964
13,C2679751,C2991663,0.057483408600091934
14,C2825452,C1601404,0.19213688373565674
15,C2598673,C0423618,0.008058303035795689
16,C3151770,C0824960,-0.002473765052855015
17,C3391197,C3847349,0.02638999931514263
18,C1859004,C0484436,0.10161808878183365
19,C1526963,C3035416,0.14531706273555756
20,C0880189,C0753576,0.0934438705444336
21,C0229047,C0820786,0.096560038626194
22,C0629356,C0020565,-0.10185719281435013
23,C1325786,C0033373,0.0044593485072255135
24,C1069723,C3630330,0.2958625555038452
25,C3889409,C0803244,0.1235174834728241
26,C1833114,C3333448,0.029169872403144836
27,C0483732,C1442749,-0.013077601790428162
28,C0282122,C2634345,0.10820315778255463
29,C3597700,C1071277,0.03498917818069458
30,C3471204,C1505106,0.19241668283939362
31,C1148248,C2794194,0.002028671558946371
32,C0944533,C3954428,-0.04033221676945686
33,C1999854,C2000541,-0.0028252906631678343
34,C2969842,C0921892,-0.04805796965956688
35,C2936761,C2727310,0.17583177983760834
36,C2480004,C3482142,-0.13653995096683502
37,C2607541,C0824467,0.039392322301864624
38,C0502169,C1069939,-0.12687082588672638
39,C0923951,C0288343,0.10759317129850388
40,C1722561,C0964799,-0.005715952254831791
41,C2500081,C1634413,-0.10260757803916931
42,C2466603,C1324889,-0.16100738942623138
43,C1636001,C0975262,-0.13340935111045837
44,C1308583,C0756011,0.23603497445583344
45,C1924171,C3641497,-0.10255755484104156
46,C3255812,C0981268,0.1487710028886795
47,C2970525,C0034552,-0.05044753849506378
48,C0157450,C1824439,-0.08203960955142975
49,C0482985,C0362696,0.00398629205301404
50,C1333460,C3956551,-0.0524926520884037
51,C1953200,C2350050,-0.1259458214044571
52,C0803479,C2719872,-0.030685441568493843
53,C1576506,C3255675,0.28445982933044434
54,C0026987,C1184766,0.021855685859918594
55,C0484298,C0825505,0.07441885769367218
56,C0880789,C2336541,0.13969112932682037
57,C0679013,C0488297,0.04575294256210327
58,C2400307,C3719795,0.027823954820632935
59,C0025219,C3891655,-0.16391488909721375
60,C2567992,C2509670,0.0725521668791771
61,C0280793,C0250997,-0.13339677453041077
62,C0941968,C0753512,-3.0544729088433087E-4
63,C3889703,C3765584,0.05567724630236626
64,C0455216,C1213847,-0.08355748653411865
65,C2446592,C3945375,-0.2606138288974762
66,C1312140,C3147313,0.12906906008720398
67,C3343940,C1720318,-0.03140028938651085
68,C2618455,C3546656,-0.22016121447086334
69,C3272375,C1953488,-0.1528290957212448
70,C0770307,C3162898,0.057816337794065475
71,C1321921,C1430346,-0.0182654969394207
72,C2278163,C2294098,-0.11488480865955353
73,C0881593,C0974997,0.11764583736658096
74,C3125825,C1423947,-0.10435669124126434
75,C0961029,C0265385,0.08306751400232315
76,C1053371,C0013010,0.04871343448758125
77,C3132020,C0804247,-0.053383421152830124
78,C1839566,C0551304,-0.0032161246053874493
79,C2405889,C3755831,0.13812679052352905
80,C3122526,C2598441,0.10008862614631653
81,C2442435,C1311384,-0.08140470087528229
82,C0797482,C3812702,-0.024581022560596466
83,C3481946,C1953621,0.050273630768060684
84,C0258339,C3157093,0.06286772340536118
85,C0880674,C3846542,-0.119508296251297
86,C2723387,C2637223,0.1891293078660965
87,C0482552,C2765609,-0.0024852610658854246
88,C0221283,C1872073,0.0765886977314949
89,C1525709,C0245324,0.01429812703281641
90,C3416194,C2980898,-0.024446766823530197
91,C2270709,C1414965,0.024691950529813766
92,C0368257,C2532144,0.048494383692741394
93,C0628009,C0798259,0.25745266675949097
94,C2987503,C2450541,0.016354091465473175
95,C2698621,C0536416,0.08157729357481003
96,C3100741,C3383032,0.09100014716386795
