rownum,CUI1,CUI2,ce
0,C0035078,C0035078,1.0
1,C0018787,C0027061,0.4853154718875885
2,C0038454,C0021308,0.4276669919490814
3,C0156543,C0000786,0.5705326795578003
4,C0011253,C0036341,0.4075314402580261
5,C0018802,C0034063,0.3881368935108185
6,C0027627,C0001418,0.23690827190876007
7,C0175895,C0009814,0.1392722725868225
8,C0011991,C0344375,0.2005344033241272
9,C0026269,C0004238,0.3495308458805084
10,C0024117,C0024109,0.21503502130508423
11,C0003873,C0409974,0.5377593636512756
12,C0006118,C0151699,0.15221631526947021
13,C0007286,C0029408,0.25402042269706726
14,C0011849,C0020538,0.3173850178718567
15,C0702166,C0039142,0.07473382353782654
16,C0003232,C0020517,0.07853790372610092
17,C0010137,C0086511,0.05903497338294983
18,C0034065,C0027051,0.3219005763530731
19,C0034069,C0242379,0.3577103614807129
20,C0206698,C0009378,0.18155406415462494
21,C0333997,C0007107,0.055349670350551605
22,C0026769,C0033975,0.2128918170928955
23,C0003615,C0029456,0.136492520570755
24,C0034877,C0003483,-0.028314534574747086
25,C0043352,C0023891,0.06611791253089905
26,C0030920,C0027092,0.020954648032784462
27,C0011581,C0007642,0.10293398797512054
28,C0042345,C0224701,0.10237867385149002
29,C0020473,C0027627,0.04549190774559975
