rownum,CUI1,CUI2,ce
0,C1879704,C0036412,0.026814090088009834
1,C1149041,C0584876,0.13324230909347534
2,C1003184,C0836695,0.07999320328235626
3,C1838572,C0798845,0.011427636258304119
4,C1147684,C2621356,0.052898652851581573
5,C0699815,C0792463,0.09684529900550842
6,C0025249,C2795396,-0.015612729825079441
7,C2347369,C1226893,-0.014488243497908115
8,C1953069,C1125026,0.056558337062597275
9,C1830901,C0258099,-0.04191397875547409
10,C3484570,C0979741,0.10504510253667831
11,C0484087,C1426173,-0.016742771491408348
12,C3992653,C2303993,-0.14111144840717316
13,C1717193,C2553847,-0.024781247600913048
14,C3271609,C0627858,0.20818574726581573
15,C2642936,C0619992,-0.03341130539774895
16,C0002871,C3040081,-0.14787060022354126
17,C2614312,C3362654,0.13127347826957703
18,C0881068,C0704806,-0.03177063912153244
19,C0018378,C3847438,-0.0793999582529068
20,C0797890,C0754456,0.05378742516040802
21,C0363343,C0237935,-0.008247105404734612
22,C0943661,C3103824,-0.08634615689516068
23,C1707183,C0483157,0.09306257963180542
24,C0429757,C2780767,-0.025928618386387825
25,C0797715,C3711562,0.005840619560331106
26,C0797767,C3901809,-0.04128820449113846
27,C0050528,C1025261,0.07320362329483032
28,C1384550,C3553060,0.027054261416196823
29,C3291394,C0738631,-0.04251498356461525
30,C3081083,C2989670,0.03058074787259102
31,C1438778,C1449504,0.02289426513016224
32,C1316935,C1562447,-0.08098723739385605
33,C0216784,C1038924,-0.044508013874292374
34,C0017132,C2919146,-0.09911677986383438
35,C3940811,C3892463,0.061852507293224335
36,C2973922,C1637483,0.03985268995165825
37,C3545041,C3640741,0.19928188621997833
38,C1113949,C0488991,-0.03522734344005585
39,C3669398,C0483034,0.04308968409895897
40,C3398997,C0505043,0.027743974700570107
41,C1542961,C3370781,-0.009046744555234909
42,C3541289,C3921920,-0.003182763233780861
43,C0023448,C2999464,0.22507239878177643
44,C2465263,C3400941,0.02501498907804489
45,C4027207,C3423247,0.13379982113838196
46,C1134568,C3924261,0.06699373573064804
47,C3869688,C3987783,-0.13109898567199707
48,C3639399,C3175036,0.13480257987976074
49,C1715594,C1637793,-0.007663113996386528
50,C2622707,C3060065,-0.07712102681398392
51,C3967466,C1081517,0.11478054523468018
52,C3747963,C1567379,-0.009430431760847569
53,C0034796,C0060277,-0.0047859619371593
54,C1526118,C0730684,0.08733273297548294
55,C1421496,C2769225,-0.057570211589336395
56,C2649584,C0005697,-0.1537136435508728
57,C2661399,C0934364,-0.1814720779657364
58,C3888273,C3853046,-0.012187868356704712
59,C0978638,C0798000,-0.056566014885902405
60,C1013450,C4033434,0.011755398474633694
61,C1659821,C0058772,0.18108923733234406
62,C0170473,C0693045,0.1120561808347702
63,C1421929,C0943050,-0.04964042082428932
64,C2707080,C1051768,0.11992345750331879
65,C1743796,C1647601,0.09734993427991867
66,C1880474,C0362511,0.09040512144565582
67,C0037473,C3457444,-0.08451361954212189
68,C3610020,C1632255,-0.1989212930202484
69,C2923565,C3815159,-0.027174975723028183
70,C2361386,C3922129,0.08368396759033203
71,C0152095,C0224722,0.025126496329903603
72,C3169552,C3068245,0.16573308408260345
73,C1421446,C3285471,-0.08337319642305374
74,C1545892,C1931785,-0.021078677847981453
75,C3790641,C1674167,0.2674369812011719
76,C4006004,C3728564,0.008784394711256027
77,C0915619,C0151222,0.06632423400878906
78,C1539620,C0796841,-0.07974156737327576
79,C1324867,C1954327,0.11259322613477707
80,C1517236,C2824885,0.14282898604869843
81,C2246327,C2735863,0.09473399817943573
82,C1041589,C0801698,0.040071841329336166
83,C3256182,C0552074,-0.04808761179447174
84,C0038558,C1753319,0.11292717605829239
85,C0941829,C1664889,0.18205082416534424
86,C1341224,C1334532,-0.028353607282042503
87,C1539269,C0882368,0.024892356246709824
88,C1528507,C3244309,0.21338380873203278
89,C2632120,C3476166,-0.04595343396067619
90,C2565668,C2392762,0.06204799935221672
91,C1337587,C1023144,0.10960166156291962
92,C4033069,C1825371,-0.1095588356256485
93,C0023267,C0960986,0.01649337075650692
94,C3560400,C1220836,0.13258707523345947
95,C3813558,C3414166,-0.06333804875612259
96,C0038367,C2457413,0.028624152764678
97,C0350279,C3483031,0.06078607589006424
98,C1915604,C3482346,0.1349039524793625
99,C0797695,C3763285,-0.03134972229599953
100,C2691744,C3779632,-0.012340972200036049
101,C1149680,C2385576,-0.13324670493602753
102,C2796762,C3813821,0.08802707493305206
103,C3808503,C2635576,-0.09448124468326569
104,C3106397,C1475853,0.12422039359807968
105,C1135732,C0072642,0.09895680844783783
106,C1494868,C0014856,0.04547189548611641
107,C1708376,C1293971,-0.0333680659532547
108,C2608045,C0804410,0.06311323493719101
109,C2239889,C2643070,0.10037954151630402
110,C0037518,C2306385,0.023979108780622482
111,C3654982,C2475908,-0.05222901701927185
112,C2337308,C2413249,0.025331133976578712
113,C1089473,C3568142,0.11847057193517685
114,C1866608,C0007257,-0.033590786159038544
115,C1688309,C2450540,-0.0713866651058197
116,C2428465,C2366121,0.0012930547818541527
117,C0781282,C0313452,-0.04473421350121498
118,C2636053,C0364291,-0.018002986907958984
119,C0855815,C0600503,0.07742880284786224
120,C1181745,C2672731,-0.03402193635702133
121,C0392338,C1147687,-0.01048369612544775
122,C1648465,C4046084,-0.06288867443799973
123,C0803832,C2734915,0.0682336688041687
124,C0063555,C3656424,0.1104641780257225
125,C1525792,C3763737,-0.07897485792636871
126,C1459936,C2494648,-0.02276020124554634
127,C0804382,C2564200,0.03986642509698868
128,C0280606,C0280230,0.009006138890981674
129,C0365733,C2423182,-0.034011613577604294
130,C0455913,C1427484,0.0752381831407547
131,C1319266,C1564200,0.0135232238098979
132,C1412109,C0012462,0.001655745436437428
133,C1644675,C3054073,0.007827703841030598
134,C0943606,C0021027,-0.015310347080230713
135,C1431132,C0905644,0.04791168123483658
136,C1236743,C1370210,-0.010361806489527225
137,C2650226,C2931746,0.01838020794093609
138,C0999516,C1314088,-7.00921009411104E-5
139,C3263009,C1150214,0.09363821148872375
140,C1669484,C0037585,0.07250268757343292
141,C1853965,C1572032,-0.002790050581097603
142,C1147831,C1119966,-0.053487181663513184
143,C1943395,C4023792,-0.07985957711935043
144,C1159769,C0973455,0.0053071388974785805
145,C0368273,C1678329,0.06401713192462921
146,C2925967,C0821773,0.05563202500343323
147,C0484644,C3332145,0.11323204636573792
148,C3039874,C3541378,0.07895397394895554
149,C3441449,C0226789,0.15867120027542114
150,C0118365,C0367311,0.020077109336853027
151,C0818468,C0154043,0.029859744012355804
152,C2728236,C3561355,-0.029898501932621002
153,C2373984,C1041650,0.029125314205884933
154,C3317792,C1634271,-0.03796336054801941
155,C1642579,C2347795,-0.04468826577067375
156,C0158775,C0228084,0.14631757140159607
157,C2331029,C0156344,0.02108505181968212
158,C3471464,C0998863,-0.107550248503685
159,C2239870,C0485838,0.10410284996032715
160,C3890906,C0035552,0.07049006223678589
161,C3265004,C4011754,-0.03275633975863457
162,C3616263,C3082662,0.31361982226371765
163,C1823954,C2145842,0.03975991532206535
164,C0158713,C1553238,-0.01604919321835041
165,C3908060,C3981551,0.3452315032482147
166,C1114970,C0001144,-0.08719184994697571
167,C0798146,C1717149,0.21328496932983398
168,C0364504,C3118416,-0.004260963760316372
169,C2969994,C0943115,0.06289715319871902
170,C0942473,C0668115,-0.055738501250743866
171,C3121528,C1065237,-0.07161842286586761
172,C2681539,C0045839,0.04407428577542305
173,C0000399,C3539030,-0.038365188986063004
174,C2454336,C3760620,-0.13257132470607758
175,C1051389,C0591192,-0.0547696128487587
176,C3118850,C0056633,-0.027210187166929245
177,C1424599,C1903214,0.24784806370735168
178,C0334521,C2503665,0.0188855342566967
179,C1836527,C3714868,-0.020924732089042664
180,C2630420,C2361620,-0.02215074747800827
181,C0262701,C0128359,0.04534100368618965
182,C2718257,C1149860,-0.04276851564645767
183,C3887730,C3547526,-0.04503559693694115
184,C2927378,C0975684,0.202683687210083
185,C2685064,C1612200,-0.06004978343844414
186,C2925987,C1524983,-0.15016819536685944
187,C0364327,C0109206,0.05829012766480446
188,C3815810,C1577343,-0.08775398880243301
189,C3496625,C0054412,-0.06409221887588501
190,C1818484,C2695096,0.050702501088380814
191,C0879916,C1316579,0.08349812775850296
192,C1996064,C0799038,0.05292786657810211
193,C0005600,C3341593,-0.0699269250035286
194,C1524271,C1333768,-0.1098557710647583
195,C1978465,C1416027,0.05205782130360603
196,C0951963,C0231051,-0.052568815648555756
197,C3917275,C4034386,0.07049232721328735
198,C2815542,C0224542,0.06815345585346222
199,C3000329,C3768672,0.0463225319981575
200,C1497516,C3746675,0.0030783219262957573
201,C0798416,C1703892,-0.05014997720718384
202,C1315915,C3169353,0.07733292877674103
203,C0882457,C0550786,-0.08572538197040558
204,C2433374,C0043124,0.0677957609295845
205,C2446121,C0945026,-0.05372612178325653
206,C3887785,C1650550,-0.1295759677886963
207,C3846889,C0941351,0.08227161318063736
208,C1591930,C0483820,-0.05592501536011696
209,C1180608,C0482431,0.0018555705901235342
210,C1502851,C1126060,-0.05586984381079674
211,C1063883,C1542977,-0.0258442722260952
212,C0691137,C0238463,0.0049490355886518955
213,C1137112,C1539047,-0.039756789803504944
214,C3894897,C0962141,0.10193876922130585
215,C0077789,C1573550,0.13597723841667175
216,C0194643,C3443233,0.061740513890981674
217,C0539369,C1539339,0.033213403075933456
218,C0734141,C1005908,-0.007521245162934065
219,C0802299,C2970157,-0.02660161629319191
220,C1455133,C1539338,0.33498236536979675
221,C0922688,C2447311,0.0050816610455513
222,C3146328,C0228416,-0.05048996955156326
223,C0484873,C1705969,0.027127321809530258
224,C0484212,C1247078,0.0337008573114872
225,C2479168,C1184419,0.07934737950563431
226,C1572823,C2727813,0.010133221745491028
227,C3909290,C2725704,-0.07030262053012848
228,C2002132,C2458210,0.03921334445476532
229,C0217772,C1952805,-0.07102232426404953
230,C3865212,C2442689,-0.10128794610500336
231,C0204778,C0364063,-0.08160647749900818
232,C0331097,C3482004,0.058458369225263596
233,C0485802,C0980199,-0.01696699671447277
234,C2308550,C3329982,0.13952989876270294
235,C2362841,C3699462,-0.09671353548765182
236,C2350540,C0945566,-0.10496460646390915
237,C3370957,C0482675,-0.20564891397953033
238,C3761017,C3830136,-0.07299330830574036
239,C0180739,C3799426,0.06725553423166275
240,C3221856,C2402309,0.02472345530986786
241,C0999743,C3809837,-0.010871603153645992
242,C1709061,C3484743,0.003713098354637623
243,C1420816,C0279125,0.019854959100484848
244,C2471381,C3846932,-0.0960276871919632
245,C1826325,C1977804,0.07198116928339005
246,C0280325,C1087304,0.015114889480173588
247,C2240091,C3263128,-0.06803165376186371
248,C0399480,C2741330,-0.0934959203004837
249,C1003968,C0059438,-0.03319966048002243
250,C4042116,C1682052,0.028557853773236275
251,C2295518,C2638286,-0.07455821335315704
252,C3068228,C1424981,0.0033952563535422087
253,C0550194,C2361624,0.18685607612133026
254,C0551961,C3066023,0.026351427659392357
255,C0233973,C0500995,0.0165521539747715
256,C4001911,C1146994,0.17770056426525116
257,C1134547,C0927717,-0.02573470212519169
258,C1947300,C0039955,0.046495962888002396
259,C2717896,C2598469,0.004233461804687977
260,C3177489,C0261175,-0.08505180478096008
261,C1878266,C0282687,-0.11784303188323975
262,C3255711,C0736919,0.04179767519235611
263,C3546698,C2599069,0.037547968327999115
264,C2350242,C2988576,-0.0967819020152092
265,C1719073,C1818736,-0.03350887447595596
266,C1566020,C1421696,0.1464264988899231
267,C1079778,C3191838,0.1111781969666481
268,C0320166,C0125575,-0.03955754637718201
269,C1970411,C2281670,0.0599207803606987
270,C1460951,C0154458,-0.04940414056181908
271,C0013574,C1038915,-0.04804297909140587
272,C1345132,C2603603,-0.010649437084794044
