rownum,CUI1,CUI2,ce
0,C0035078,C0035078,1.0
1,C0018787,C0027061,0.3925575017929077
2,C0038454,C0021308,0.25172898173332214
3,C0156543,C0000786,0.47656145691871643
4,C0011253,C0036341,0.39369258284568787
5,C0018802,C0034063,0.265417218208313
6,C0027627,C0001418,0.16146817803382874
7,C0175895,C0009814,0.08729765564203262
8,C0011991,C0344375,0.08896858990192413
9,C0026269,C0004238,0.2211848646402359
10,C0024117,C0024109,0.18389469385147095
11,C0003873,C0409974,0.4345805048942566
12,C0006118,C0151699,0.18957708775997162
13,C0007286,C0029408,0.19430698454380035
14,C0011849,C0020538,0.32915326952934265
15,C0702166,C0039142,0.08627980202436447
16,C0003232,C0020517,0.04150038957595825
17,C0010137,C0086511,0.004391685593873262
18,C0034065,C0027051,0.29347938299179077
19,C0034069,C0242379,0.34072479605674744
20,C0206698,C0009378,0.07309574633836746
21,C0333997,C0007107,0.05568655952811241
22,C0026769,C0033975,0.17734186351299286
23,C0003615,C0029456,0.09954588115215302
24,C0034877,C0003483,0.033985137939453125
25,C0043352,C0023891,0.04205913096666336
26,C0030920,C0027092,0.04151855781674385
27,C0011581,C0007642,0.06092830002307892
28,C0042345,C0224701,0.01252419501543045
29,C0020473,C0027627,0.12036123126745224
