rownum,CUI1,CUI2,ce
0,C0002395,C0029838,0.3690130412578583
1,C0002395,C0011570,0.30036261677742004
2,C0002395,C0005586,0.29441776871681213
3,C0002395,C0014544,0.27849745750427246
4,C0002395,C0011849,0.0768837183713913
5,C0002871,C0014175,0.04110255092382431
6,C0004096,C0003873,0.16393402218818665
7,C0004096,C0011849,0.06849583238363266
8,C0004096,C0028754,0.04430479183793068
9,C0004096,C0024117,0.6017144918441772
10,C0005586,C0029838,0.4992636442184448
11,C0007193,C0020474,0.10107620060443878
12,C0007193,C0027051,0.3181690275669098
13,C0007193,C0011849,0.1940474659204483
14,C0007193,C0029591,0.13404594361782074
15,C0007193,C0028754,0.07727954536676407
16,C0024117,C0003873,0.2055351436138153
17,C0024117,C0027051,0.190708190202713
18,C0162674,C0007193,0.18833069503307343
19,C0011849,C0028754,0.3244180381298065
20,C0011849,C0029591,0.1488220989704132
21,C0014175,C0003873,0.23461388051509857
22,C0014544,C0026769,0.26730626821517944
23,C0014544,C0029838,0.18081071972846985
24,C0020179,C0011570,0.2170085906982422
25,C0020179,C0014544,0.38789114356040955
26,C0020179,C0005586,0.3105364143848419
27,C0020179,C0029838,0.26784244179725647
28,C0020474,C0011849,0.161054328083992
29,C0020474,C0029591,0.21477997303009033
30,C0020474,C0027051,0.03095315955579281
31,C0020474,C0028754,0.27367401123046875
32,C0021364,C0028754,0.009036862291395664
33,C0021364,C0020474,-0.05362257733941078
34,C0021364,C0010674,0.1612403243780136
35,C0029591,C0028754,0.1595708727836609
36,C0024530,C0014544,0.1466597616672516
37,C0024530,C0002871,0.1905045211315155
38,C0011570,C0005586,0.6753475069999695
39,C0011570,C0029838,0.4990880489349365
40,C0026769,C0011849,0.10134673118591309
41,C0027051,C0011849,0.14032156765460968
42,C0027051,C0028754,-0.023840149864554405
43,C0027051,C0029591,0.12460491806268692
44,C0022680,C0011849,0.16780193150043488
45,C0032460,C0028754,0.1975407898426056
46,C0032460,C0011849,0.19171439111232758
47,C0032460,C0027051,0.06826118379831314
48,C0032460,C0029591,0.09921357780694962
49,C0003873,C0011849,0.18704678118228912
50,C0036202,C0007193,0.11892538517713547
51,C0036202,C0024117,0.28592202067375183
52,C0018021,C0020676,0.5705979466438293
53,C0003850,C0022116,0.32036134600639343
54,C0021400,C0032285,0.36591407656669617
55,C0014038,C0025289,0.33070430159568787
56,C0004153,C0022116,0.2848317325115204
57,C0003864,C0002726,-0.057072609663009644
58,C0149514,C0032285,0.5569426417350769
59,C0027121,C0026848,0.35035255551338196
60,C0018995,C0003864,0.04093063995242119
61,C0026946,C0025289,0.13381147384643555
62,C0032285,C0025289,0.23162448406219482
63,C0023530,C0032285,0.17382767796516418
64,C0018021,C0011644,0.16520588099956512
65,C0014544,C0022116,0.16131313145160675
66,C0029531,C0030305,0.036677394062280655
67,C0004153,C0021400,-0.007403455208986998
68,C0029531,C0014544,0.012719620019197464
69,C0029456,C0033141,0.07989593595266342
