,rownum,sno,CUI1,CUI2,lesk,vector
0,0,0,C0872280,C2793358,7,0.0201
1,1,1,C0529095,C2410123,21,0.0925
2,2,2,C1660439,C2517976,6,0.0522
3,3,3,C0664569,C1047687,3,0.0297
4,4,4,C3924448,C3995556,4,0
5,5,5,C1180540,C3948919,2,0.3328
6,6,6,C1246598,C1872012,16,0.0495
7,7,7,C0355813,C1323626,15,0.0023
8,8,8,C3612393,C3775186,1,0.0328
9,9,9,C1006047,C1336195,48,0.3378
10,10,10,C1335858,C2334272,17,0.0837
11,11,11,C2482370,C2490452,844,0.8617
12,12,12,C0682812,C3582320,14,0.1483
13,13,13,C1818181,C3049196,19,0.0276
14,14,14,C1197264,C1253856,22,0.1432
15,15,15,C3591349,C3885080,11,0.0554
16,16,16,C0922921,C1201858,2,0.2774
17,17,17,C2540915,C3929514,4,0.0434
18,18,18,C1607375,C1662927,15,0
19,19,19,C1084049,C2644067,6,0
20,20,20,C1188704,C3939596,9,0.1603
21,21,21,C0682661,C1418746,13,0.0987
22,22,22,C0957672,C3005046,5,0.0052
23,23,23,C0848109,C3780658,4,0.0418
24,24,24,C2271395,C3244436,15,0.0481
25,25,25,C0010823,C3359511,76,0.394
26,26,26,C2474405,C3761884,5,0.0482
27,27,27,C1236185,C1362044,1030,0.1119
28,28,28,C1837366,C3322841,16,0.2311
29,29,29,C1861039,C3744661,6,0.033
30,30,30,C2618698,C3996119,8,0.0945
31,31,31,C0938311,C3100989,1,0
32,32,32,C1416978,C3162554,12,0.0446
33,33,33,C3425339,C3997304,7,0.0228
34,34,34,C1467364,C3130189,7,0
35,35,35,C1888074,C3002469,7,0.0255
36,36,36,C3109222,C3550038,10,0.049
37,37,37,C1140436,C2504076,23,0.2822
38,38,38,C1500394,C3890021,7,0.0179
39,39,39,C0157063,C0332603,126,0.2217
40,40,40,C0384582,C1672592,8,0.0887
41,41,41,C1210242,C1641879,24,0.8764
42,42,42,C1569419,C1637690,14,0.027
43,43,43,C1506114,C2556859,20,0.1936
44,44,44,C0379237,C3276693,17,0.178
45,45,45,C0532251,C1481752,36,0.3394
46,46,46,C0783581,C2734277,13,0.0757
47,47,47,C0073794,C0652566,2340,0.5064
48,48,48,C1874507,C3271576,52,0.0932
49,49,49,C0829549,C1311336,11,0.0372
50,50,50,C2483607,C3017926,6,0.051
51,51,51,C0642733,C3913547,22,0.3598
52,52,52,C2735430,C3224652,6,0
53,53,53,C2785658,C3373519,4225,0.9995
54,54,54,C1687376,C3848022,13,0.0955
55,55,55,C3263237,C3956183,1,0.0109
56,56,56,C2550808,C3465944,16,0.1855
57,57,57,C1887781,C3829363,9,0.0061
58,58,58,C1595417,C2493343,5,0
59,59,59,C1984366,C3570753,5,0.0631
60,60,60,C3028269,C3791151,31,0.2345
61,61,61,C2053598,C3795799,28,0.1394
62,62,62,C1383366,C3552408,31,0
63,63,63,C2599169,C3117587,25,0.2691
64,64,64,C0795807,C3552548,33,0.0843
65,65,65,C1520600,C1678310,20,0.0125
66,66,66,C2686946,C3612843,10,0.1072
67,67,67,C0935242,C1013983,16,0.1526
68,68,68,C1919829,C2949157,24,0.1764
69,69,69,C2351357,C4025415,8,0.0092
70,70,0,C2360481,C2527095,32,0.0994
71,71,1,C2655998,C3717706,36,0.5327
72,72,2,C1840643,C3820209,22,0.0672
73,73,3,C1920450,C3351455,9,0.0963
74,74,4,C0756579,C3870535,22,0.0253
75,75,5,C0500641,C0930365,2124,0.9005
76,76,6,C2947293,C3313502,9,0
77,77,7,C0267773,C2735386,45,0.236
78,78,8,C0162897,C3941795,5,0.25
79,79,9,C2530968,C3595174,1,0
80,80,10,C1927368,C2773056,4,0.0096
81,81,11,C1031046,C3720394,1024,0.9431
82,82,12,C0076860,C3049822,22,0.0812
83,83,13,C1234092,C3917805,7,0.018
84,84,14,C0799449,C2526956,20,0.1214
85,85,15,C1473448,C2461102,7,0.0694
86,86,16,C0764030,C2428797,20,0.0782
87,87,17,C1656404,C3802950,35,0.1365
88,88,18,C0428759,C2991995,5,0.093
89,89,19,C1042375,C3778048,3,0.081
90,90,20,C2444504,C3761130,6,0.0465
91,91,21,C3841458,C4044801,13,0.1087
92,92,22,C2628657,C3325013,7,0.018
93,93,23,C1495939,C1570114,1,0
94,94,24,C0221082,C2562618,31,0.5878
95,95,25,C0151834,C1512008,81,0.4307
96,96,26,C2695361,C3064747,5,0.0483
97,97,27,C1289969,C3129603,10,0.1128
98,98,28,C1556128,C2547186,17,0.4291
99,99,29,C2949923,C3217309,11,0.0973
100,100,30,C1260329,C3372112,9,0.0993
101,101,31,C3151091,C3412904,1,0.0197
102,102,32,C1027231,C2496125,3,0.0625
103,103,33,C0969690,C1270967,36,0.1427
104,104,34,C1588854,C3815299,9,0
105,105,35,C1928827,C2419411,5,0.067
106,106,36,C0942526,C1503006,17,0.4646
107,107,37,C0950745,C3235100,18,0.0314
108,108,38,C1003963,C3825542,18,0.0056
109,109,39,C3822182,C4016764,4,0
110,110,40,C0240285,C3890967,23,0.0865
111,111,41,C0227144,C3622222,12,0.1833
112,112,42,C1608553,C3658945,1820,0.2452
113,113,43,C2949001,C3346985,15,0
114,114,44,C1192179,C2942473,5,0.0918
115,115,45,C3631195,C3937621,12,0
116,116,46,C0597598,C0801707,48,0.08
117,117,47,C3527908,C3740143,32,0.0957
118,118,48,C0836532,C3616430,12,0.0497
119,119,49,C2267863,C3595051,13,0
120,120,50,C1830760,C3830424,27,0.5728
121,121,51,C0672514,C1937022,1,0.0516
122,122,52,C1872871,C2579474,14,0.0642
123,123,53,C1497982,C3117397,10,0.0304
124,124,54,C1068348,C2811690,8,0.0811
125,125,55,C2325243,C3406976,12,0.7525
126,126,56,C3387890,C3850108,50,0.4408
127,127,57,C3629738,C3851694,14,0.0781
128,128,58,C3386246,C4043300,7,0
129,129,59,C1609274,C2961463,29,0.0317
130,130,60,C1611889,C3174791,40,0.1928
