,sno,CUI1,CUI2,lesk,vector
0,0,C0002395,C0029838,63235.0000,0.6906
1,1,C0002395,C0011570,1634775.0000,0.8556
2,2,C0002395,C0005586,1564156.0000,0.8323
3,3,C0002395,C0014544,4599862.0000,0.9435
4,4,C0002395,C0011849,2317630.0000,0.7501
5,5,C0002871,C0014175,55735.0000,0.6796
6,6,C0004096,C0003873,1863513.0000,0.9402
7,7,C0004096,C0011849,334369.0000,0.7913
8,8,C0004096,C0028754,128131.0000,0.8195
9,9,C0004096,C0024117,1882411.0000,0.9050
10,10,C0005586,C0029838,64078.0000,0.8136
11,11,C0007193,C0020474,6705.0000,0.4615
12,12,C0007193,C0027051,89952.0000,0.8826
13,13,C0007193,C0011849,18359.0000,0.6512
14,14,C0007193,C0029591,3207.0000,0.4644
15,15,C0007193,C0028754,8554.0000,0.6421
16,16,C0024117,C0003873,209378.0000,0.8039
17,17,C0024117,C0027051,514177.0000,0.8470
18,18,C0162674,C0007193,8225.0000,0.7194
19,19,C0011849,C0028754,1020795.0000,0.8943
20,20,C0011849,C0029591,4946.0000,0.6426
21,21,C0014175,C0003873,123249.0000,0.8051
22,22,C0014544,C0026769,4397316.0000,0.9559
23,23,C0014544,C0029838,2387.0000,0.6471
24,24,C0020179,C0011570,512337.0000,0.8174
25,25,C0020179,C0014544,4545871.0000,0.9441
26,26,C0020179,C0005586,414057.0000,0.7869
27,27,C0020179,C0029838,2557.0000,0.6721
28,28,C0020474,C0011849,5273.0000,0.7712
29,29,C0020474,C0029591,11750.0000,0.7656
30,30,C0020474,C0027051,11959.0000,0.6753
31,31,C0020474,C0028754,4821.0000,0.7458
32,32,C0021364,C0028754,12438.0000,0.7240
33,33,C0021364,C0020474,3659.0000,0.4930
34,34,C0021364,C0010674,60673.0000,0.7734
35,35,C0029591,C0028754,5698.0000,0.7020
36,36,C0024530,C0014544,543110.0000,0.6960
37,37,C0024530,C0002871,3514749.0000,0.9587
38,38,C0011570,C0005586,1752800.0000,0.9760
39,39,C0011570,C0029838,63460.0000,0.7856
40,40,C0026769,C0011849,1039550.0000,0.7312
41,41,C0027051,C0011849,510329.0000,0.7977
42,42,C0027051,C0028754,158308.0000,0.7707
43,43,C0027051,C0029591,3582.0000,0.5809
44,44,C0022680,C0011849,68981.0000,0.7403
45,45,C0032460,C0028754,341938.0000,0.9032
46,46,C0032460,C0011849,1944721.0000,0.9253
47,47,C0032460,C0027051,257986.0000,0.7801
48,48,C0032460,C0029591,3710.0000,0.6453
49,49,C0003873,C0011849,400731.0000,0.7816
50,50,C0036202,C0007193,8890.0000,0.8232
51,51,C0036202,C0024117,1687882.0000,0.9502
52,52,C0018021,C0020676,501413.0000,0.7987
53,53,C0003850,C0022116,115156.0000,0.9487
54,54,C0021400,C0032285,5241222.0000,0.9899
55,55,C0014038,C0025289,4465713.0000,0.9426
56,56,C0004153,C0022116,332551.0000,0.9652
57,57,C0003864,C0002726,141228.0000,0.8062
58,58,C0149514,C0032285,5214571.0000,0.9918
59,59,C0027121,C0026848,2388045.0000,0.9850
60,60,C0018995,C0003864,211378.0000,0.8424
61,61,C0026946,C0025289,4067225.0000,0.8925
62,62,C0032285,C0025289,4205571.0000,0.9124
63,63,C0023530,C0032285,21829.0000,0.6534
64,64,C0018021,C0011644,12607.0000,0.6683
65,65,C0014544,C0022116,20702.0000,0.5923
66,66,C0029531,C0030305,5461.0000,0.3081
67,67,C0004153,C0021400,227095.0000,0.7388
68,68,C0029531,C0014544,3631.0000,0.3644
69,69,C0029456,C0033141,6196.0000,0.6769
