rownum,CUI1,CUI2,ce
0,C0872280,C2793358,0.09585835039615631
1,C0529095,C2410123,-0.10169725865125656
2,C1660439,C2517976,0.04625703766942024
3,C0664569,C1047687,-0.07209407538175583
4,C3924448,C3995556,0.1280761957168579
5,C1180540,C3948919,0.03884875029325485
6,C1246598,C1872012,-0.05629293620586395
7,C0355813,C1323626,-0.0016913162544369698
8,C3612393,C3775186,-0.014272480271756649
9,C1006047,C1336195,0.012715090066194534
10,C1335858,C2334272,-0.031865812838077545
11,C2482370,C2490452,0.11106018722057343
12,C0682812,C3582320,-0.08117976039648056
13,C1818181,C3049196,-0.05468345433473587
14,C1197264,C1253856,0.09359715133905411
15,C3591349,C3885080,0.12076429277658463
16,C0922921,C1201858,-0.060618337243795395
17,C2540915,C3929514,-0.0028987941332161427
18,C1607375,C1662927,-0.09331130981445312
19,C1084049,C2644067,0.04796631261706352
20,C1188704,C3939596,0.19126421213150024
21,C0682661,C1418746,-0.09605883806943893
22,C0957672,C3005046,-0.0012399799888953567
23,C0848109,C3780658,0.02550947666168213
24,C2271395,C3244436,-0.06876632571220398
25,C0010823,C3359511,0.02073018066585064
26,C2474405,C3761884,-0.025810416787862778
27,C1236185,C1362044,0.12391352653503418
28,C1837366,C3322841,0.050801292061805725
29,C1861039,C3744661,0.13444462418556213
30,C2618698,C3996119,0.11014809459447861
31,C0938311,C3100989,0.005708663258701563
32,C1416978,C3162554,0.0024130523670464754
33,C3425339,C3997304,0.003888452425599098
34,C1467364,C3130189,0.14657706022262573
35,C1888074,C3002469,0.2789454460144043
36,C3109222,C3550038,0.07061684131622314
37,C1140436,C2504076,-0.005538043100386858
38,C1500394,C3890021,-0.05363062024116516
39,C0157063,C0332603,0.08958146721124649
40,C0384582,C1672592,0.04059232398867607
41,C1210242,C1641879,0.015220209024846554
42,C1569419,C1637690,0.003261271398514509
43,C1506114,C2556859,-0.14217059314250946
44,C0379237,C3276693,-0.0755152553319931
45,C0532251,C1481752,0.14178261160850525
46,C0783581,C2734277,0.04492112994194031
47,C0073794,C0652566,0.17020149528980255
48,C1874507,C3271576,0.055086348205804825
49,C0829549,C1311336,-0.05896613746881485
50,C2483607,C3017926,0.04703659936785698
51,C0642733,C3913547,0.05336087569594383
52,C2735430,C3224652,-0.05280453339219093
53,C2785658,C3373519,0.11823015660047531
54,C1687376,C3848022,0.009823072701692581
55,C3263237,C3956183,0.0793270617723465
56,C2550808,C3465944,0.006514247041195631
57,C1887781,C3829363,-0.10880482196807861
58,C1595417,C2493343,-0.007382247131317854
59,C1984366,C3570753,0.13306288421154022
60,C3028269,C3791151,0.3343288004398346
61,C2053598,C3795799,0.015460493043065071
62,C1383366,C3552408,-0.03677156940102577
63,C2599169,C3117587,0.06787608563899994
64,C0795807,C3552548,0.12466830015182495
65,C1520600,C1678310,-0.045061785727739334
66,C2686946,C3612843,0.01422074344009161
67,C0935242,C1013983,0.021195365116000175
68,C1919829,C2949157,0.06331285834312439
69,C2351357,C4025415,0.005760253872722387
70,C2360481,C2527095,0.007525953929871321
71,C2655998,C3717706,0.19309021532535553
72,C1840643,C3820209,0.007573028560727835
73,C1920450,C3351455,0.34988442063331604
74,C0756579,C3870535,0.2002340406179428
75,C0500641,C0930365,0.023809567093849182
76,C2947293,C3313502,-0.05646715313196182
77,C0267773,C2735386,-0.05288903787732124
78,C0162897,C3941795,0.021032337099313736
79,C2530968,C3595174,0.03451228886842728
80,C1927368,C2773056,0.09909120202064514
81,C1031046,C3720394,-0.003478272119536996
82,C0076860,C3049822,0.014648646116256714
83,C1234092,C3917805,0.1606198251247406
84,C0799449,C2526956,-0.051414743065834045
85,C1473448,C2461102,0.0012175615411251783
86,C0764030,C2428797,-0.1636655330657959
87,C1656404,C3802950,0.03157666325569153
88,C0428759,C2991995,0.10281862318515778
89,C1042375,C3778048,-0.03243744745850563
90,C2444504,C3761130,-0.09275715053081512
91,C3841458,C4044801,-0.1316424012184143
92,C2628657,C3325013,0.2420578896999359
93,C1495939,C1570114,0.15881982445716858
94,C0221082,C2562618,0.052813779562711716
95,C0151834,C1512008,0.05486072972416878
96,C2695361,C3064747,-0.0010739744175225496
97,C1289969,C3129603,-0.001607838668860495
98,C1556128,C2547186,-0.040314629673957825
99,C2949923,C3217309,0.08080566674470901
100,C1260329,C3372112,0.002451714826747775
101,C3151091,C3412904,0.07692760229110718
102,C1027231,C2496125,-0.0029697974678128958
103,C0969690,C1270967,0.030712556093931198
104,C1588854,C3815299,0.06892064958810806
105,C1928827,C2419411,-0.07413548976182938
106,C0942526,C1503006,0.06301142275333405
107,C0950745,C3235100,-0.08160605281591415
108,C1003963,C3825542,-0.1916816085577011
109,C3822182,C4016764,-0.1296658217906952
110,C0240285,C3890967,0.06169858202338219
111,C0227144,C3622222,0.07377500832080841
112,C1608553,C3658945,0.0016916402382776141
113,C2949001,C3346985,3.8809538818895817E-4
114,C1192179,C2942473,0.05883735045790672
115,C3631195,C3937621,0.11777962744235992
116,C0597598,C0801707,-0.050503168255090714
117,C3527908,C3740143,-0.023061389103531837
118,C0836532,C3616430,0.02143501117825508
119,C2267863,C3595051,0.11799950897693634
120,C1830760,C3830424,0.05860026925802231
121,C0672514,C1937022,0.013430912047624588
122,C1872871,C2579474,-0.061796076595783234
123,C1497982,C3117397,-0.024494290351867676
124,C1068348,C2811690,-0.015689779072999954
125,C2325243,C3406976,-0.015814201906323433
126,C3387890,C3850108,0.06091420724987984
127,C3629738,C3851694,0.04390109330415726
128,C3386246,C4043300,0.2511029839515686
129,C1609274,C2961463,0.15343792736530304
130,C1611889,C3174791,-0.1005396842956543
131,C0161937,C0365007,0.0505034364759922
132,C3343634,C4024403,-0.011460972018539906
133,C0945699,C3042457,-0.038218360394239426
134,C2291225,C3656058,-0.053872525691986084
135,C2435303,C3747962,-0.039222411811351776
136,C0042509,C1744215,-0.09489770233631134
137,C0981566,C1226113,0.06096785143017769
138,C1656080,C2620662,0.10688542574644089
139,C1915216,C3329330,0.18584583699703217
140,C3101094,C3491543,0.058425359427928925
141,C1040985,C2963183,-0.13445325195789337
142,C0915647,C3414476,-0.047912176698446274
143,C3587048,C3621383,-0.07402782142162323
144,C2340570,C3039545,-0.09682053327560425
145,C0880321,C1979065,-0.002947036875411868
146,C1183638,C2752011,0.023521579802036285
147,C0345122,C3040468,-0.01147540844976902
148,C1929155,C2731582,0.11751134693622589
149,C0200705,C1000836,0.030299829319119453
150,C3805474,C3991158,0.12021786719560623
151,C2477424,C2696126,0.06544007360935211
152,C1682667,C2438931,-0.12842777371406555
153,C2526018,C3047382,-0.0026251734234392643
154,C0840888,C3564012,-0.030292341485619545
155,C2497124,C4005765,0.0725174993276596
156,C0380712,C3626705,0.09065520763397217
157,C3321370,C3748905,0.09967031329870224
158,C1705078,C3270174,0.07921673357486725
159,C1864802,C4037538,-0.009585498832166195
160,C1908945,C4001642,0.059885378926992416
161,C2710744,C3550159,-0.05650119110941887
162,C1034564,C2935132,-0.05630515143275261
163,C0227217,C3998907,-0.03178374096751213
164,C0007062,C1575596,0.06904485821723938
165,C2304511,C3177385,-0.13346098363399506
166,C1667465,C2688835,-0.13542962074279785
167,C0330069,C2618599,0.24864549934864044
168,C0369336,C3352030,0.012758204713463783
169,C2273706,C3777488,-0.06601794809103012
170,C2951017,C3733133,0.08801312744617462
171,C0640264,C1610766,0.06283538788557053
172,C2436358,C3363929,0.00528881698846817
173,C1886092,C1954562,0.2331055849790573
174,C1864157,C3221276,-0.0549141950905323
175,C0104163,C1346099,0.06589885801076889
176,C2290300,C3380109,0.04259738326072693
177,C1626131,C2340351,-0.06396286934614182
178,C3231239,C3603931,0.09533760696649551
179,C1198115,C2480658,0.056859128177165985
